timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.49.calc,     1511,     1794,     1938,     1898,     1779,     1649,     1525,     1409,     1302,     1203,     1111,     1026,      948,      876,      809,      748,      691,      638,      590,      545,      503,      465,      430,      397,      367,      339,      313,      289,      267,      247,      228,      211,      195,      180,      166,      153,      142,      131,      121,      112,      103,       95,       88,       81,       75,       69,       64,       59,       55,       51,       47,       43,       40,       37,       34,       31,       29,       27,       25,       23,       21,       20,       18,       17,       15,       14,       13,       12,       11,       10,       10,        9,        8,        8,        7,        6,        6,        6,        5,        5,        4,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        2,        2,        2,        3,        3,        4,        5,        6,        7,        8
i.2.calc,      646,      619,      612,      615,      621,      626,      631,      635,      639,      643,      646,      648,      650,      652,      654,      656,      657,      658,      659,      660,      661,      661,      662,      663,      663,      663,      664,      664,      664,      664,      665,      665,      665,      665,      665,      665,      665,      665,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      666,      665,      665,      665,      665,      665,      665,      665,      665,      665,      665,      665,      664,      664,      664,      664,      664,      663,      663,      663,      663,      662,      662,      661,      661,      660,      660,      659,      658,      657,      656,      655,      654,      652,      651,      649,      647,      645,      643,      640,      637,      634,      630,      626,      622,      617,      611,      605,      598,      590,      581,      572,      561,      549,      536,      521,      504,      486,      465,      442,      417,      389,      359,      325,      288,      249,      208,      167,      126,       89,       59,       36,       21,       12,        6,        3,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.3.calc,      600,      580,      574,      577,      582,      586,      588,      590,      589,      588,      584,      578,      570,      560,      547,      531,      513,      492,      468,      441,      411,      378,      342,      304,      264,      223,      182,      143,      107,       76,       51,       33,       20,       12,        7,        4,        3,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.55.calc,      739,      397,      135,       31,        7,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        2,        2,        2,        2,        2,        3,        3,        3,        4,        4,        4,        5,        6,        6,        7,        8,        9,        9,       11,       12,       13,       15,       16,       18,       20,       22,       25,       28,       31,       34,       38,       42,       47,       52,       58,       64,       72,       79,       88,       98,      109,      121,      134,      149,      165,      183,      202,      224,      247,      273,      301,      332,      365,      401,      440,      481,      523,      568,      613,      657,      699,      735,      763,      781,      788,      785,      774,      758,      741,      722,      702,      683,      664,      645,      627,      609,      591,      574,      557,      540,      523,      507
i.4.calc,      596,      556,      532,      516,      502,      488,      474,      459,      443,      427,      410,      394,      376,      358,      340,      321,      302,      283,      263,      242,      221,      200,      178,      155,      133,      111,       90,       70,       52,       36,       24,       15,        9,        6,        3,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.5.calc,     1427,     1335,     1254,     1183,     1121,     1065,     1015,      970,      930,      893,      859,      829,      802,      777,      755,      735,      717,      701,      686,      674,      663,      654,      647,      640,      635,      631,      628,      626,      625,      624,      624,      624,      625,      626,      627,      628,      629,      631,      632,      634,      635,      637,      638,      640,      641,      643,      644,      646,      647,      648,      649,      650,      651,      653,      654,      654,      655,      656,      657,      658,      659,      659,      660,      661,      661,      662,      662,      663,      663,      664,      664,      664,      665,      665,      665,      665,      666,      666,      666,      666,      666,      667,      667,      667,      667,      667,      667,      667,      667,      667,      667,      667,      667,      667,      667,      667,      667,      666,      666,      666,      666,      666,      666,      666,      665,      665,      665,      665,      665,      664,      664,      664,      664,      664,      663,      663,      663,      663,      662,      662,      662,      661,      661,      661,      661,      660,      660,      660,      659,      659,      659,      658,      658,      658,      657,      657,      657,      656,      656,      656,      655,      655,      654,      654,      654,      653,      653,      653,      652,      652,      651,      651,      651,      650,      650,      649,      649,      649,      648,      648,      647,      647,      646,      646,      646,      645,      645,      644,      644,      643,      643,      642,      642,      642,      641,      641,      640,      640,      639,      639,      638,      638,      637,      637,      636,      636,      635,      635,      634,      634,      633,      633,      632,      632,      631,      631,      630,      630,      629,      628,      628,      627
i.83.calc,      233,      251,      269,      289,      311,      333,      358,      384,      412,      442,      475,      509,      545,      584,      625,      669,      715,      763,      814,      867,      922,      979,     1037,     1095,     1153,     1208,     1260,     1306,     1344,     1371,     1387,     1391,     1386,     1374,     1356,     1336,     1315,     1292,     1270,     1247,     1225,     1203,     1181,     1159,     1138,     1117,     1097,     1077,     1057,     1038,     1019,     1001,      982,      965,      947,      930,      913,      896,      880,      864,      848,      833,      817,      802,      788,      773,      759,      746,      732,      719,      705,      693,      680,      668,      655,      643,      632,      620,      609,      598,      587,      576,      566,      555,      545,      535,      526,      516,      507,      497,      488,      479,      471,      462,      454,      445,      437,      429,      421,      414,      406,      399,      392,      384,      377,      371,      364,      357,      351,      344,      338,      332,      326,      320,      314,      308,      303,      297,      292,      286,      281,      276,      271,      266,      261,      256,      252,      247,      243,      238,      234,      230,      225,      221,      217,      213,      209,      206,      202,      198,      195,      191,      188,      184,      181,      177,      174,      171,      168,      165,      162,      159,      156,      153,      150,      148,      145,      142,      140,      137,      135,      132,      130,      127,      125,      123,      121,      118,      116,      114,      112,      110,      108,      106,      104,      102,      100,       99,       97,       95,       93,       92,       90,       88,       87,       85,       83,       82,       80,       79,       78,       76,       75,       73,       72,       71,       69,       68,       67,       66,       65,       63
i.82.calc,      525,      530,      533,      534,      534,      533,      529,      524,      516,      507,      495,      481,      466,      448,      428,      406,      382,      357,      330,      303,      276,      248,      221,      195,      170,      147,      126,      107,       90,       75,       63,       52,       43,       35,       29,       24,       20,       16,       14,       11,        9,        8,        6,        5,        5,        4,        3,        3,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1
i.7.calc,      639,      650,      660,      670,      679,      687,      696,      704,      712,      719,      727,      735,      743,      752,      761,      771,      781,      792,      805,      818,      833,      849,      867,      886,      907,      929,      953,      978,     1005,     1033,     1062,     1092,     1123,     1155,     1188,     1221,     1256,     1290,     1325,     1361,     1396,     1432,     1468,     1504,     1540,     1577,     1612,     1648,     1684,     1719,     1754,     1789,     1824,     1858,     1891,     1924,     1957,     1989,     2020,     2051,     2081,     2111,     2140,     2168,     2196,     2223,     2249,     2275,     2300,     2324,     2347,     2370,     2392,     2414,     2434,     2454,     2474,     2493,     2511,     2528,     2545,     2561,     2577,     2592,     2606,     2620,     2633,     2646,     2658,     2670,     2682,     2692,     2703,     2713,     2723,     2732,     2740,     2749,     2757,     2765,     2772,     2779,     2786,     2792,     2798,     2804,     2810,     2815,     2820,     2825,     2830,     2834,     2839,     2843,     2846,     2850,     2854,     2857,     2860,     2863,     2866,     2869,     2872,     2874,     2876,     2879,     2881,     2883,     2885,     2887,     2889,     2890,     2892,     2894,     2895,     2896,     2898,     2899,     2900,     2901,     2902,     2903,     2904,     2905,     2906,     2907,     2908,     2909,     2909,     2910,     2911,     2911,     2912,     2913,     2913,     2914,     2914,     2915,     2915,     2916,     2916,     2916,     2917,     2917,     2917,     2918,     2918,     2918,     2919,     2919,     2919,     2919,     2919,     2920,     2920,     2920,     2920,     2920,     2921,     2921,     2921,     2921,     2921,     2921,     2921,     2921,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922
i.74.calc,      924,      953,      984,     1015,     1048,     1081,     1116,     1151,     1187,     1224,     1261,     1299,     1337,     1375,     1412,     1449,     1486,     1520,     1554,     1585,     1614,     1640,     1662,     1682,     1697,     1708,     1716,     1719,     1719,     1715,     1708,     1698,     1686,     1672,     1656,     1638,     1620,     1601,     1581,     1561,     1541,     1520,     1499,     1478,     1458,     1437,     1417,     1396,     1376,     1356,     1336,     1317,     1298,     1279,     1260,     1241,     1223,     1205,     1187,     1170,     1152,     1135,     1118,     1102,     1085,     1069,     1053,     1038,     1022,     1007,      992,      978,      963,      949,      935,      921,      907,      894,      880,      867,      854,      842,      829,      817,      805,      793,      781,      769,      758,      746,      735,      724,      714,      703,      693,      682,      672,      662,      652,      643,      633,      624,      614,      605,      596,      587,      579,      570,      561,      553,      545,      537,      529,      521,      513,      505,      498,      491,      483,      476,      469,      462,      455,      448,      442,      435,      429,      422,      416,      410,      404,      398,      392,      386,      380,      375,      369,      363,      358,      353,      347,      342,      337,      332,      327,      322,      318,      313,      308,      304,      299,      295,      290,      286,      282,      277,      273,      269,      265,      261,      257,      254,      250,      246,      242,      239,      235,      232,      228,      225,      222,      218,      215,      212,      209,      206,      203,      200,      197,      194,      191,      188,      185,      182,      180,      177,      174,      172,      169,      167,      164,      162,      160,      157,      155,      153,      150,      148,      146,      144,      142,      140
