,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Lion [86],     1010,     1036,     1063,     1089,     1116,     1144,     1171,     1199,     1227,     1255,     1283,     1311,     1339,     1368,     1395,     1423,     1451,     1478,     1505,     1531,     1557,     1582,     1607,     1631,     1654,     1676,     1697,     1717,     1736,     1754,     1770,     1785,     1799,     1812,     1823,     1834,     1842,     1850,     1857,     1862,     1867,     1871,     1874,     1876,     1878,     1879,     1880,     1881,     1882,     1883,     1884,     1885,     1886,     1888,     1890,     1893,     1896,     1900,     1904,     1909,     1915,     1921,     1927,     1935,     1943,     1952,     1961,     1972,     1982,     1994,     2006,     2019,     2033,     2048,     2063,     2079,     2095,     2113,     2131,     2149,     2169,     2189,     2210,     2232,     2254,     2278,     2301,     2326,     2352,     2378,     2405,     2433,     2462,     2491,     2521,     2552,     2584,     2617,     2651,     2685,     2721,     2757,     2794,     2833,     2872,     2912,     2953,     2995,     3038,     3082,     3128,     3174,     3221,     3270,     3319,     3370,     3422,     3476,     3530,     3586,     3643,     3701,     3761,     3822,     3885,     3949,     4014,     4081,     4150,     4220,     4291,     4365,     4440,     4517,     4595,     4676,     4758,     4842,     4928,     5016,     5106,     5199,     5293,     5390,     5488,     5589,     5693,     5799,     5907,     6018,     6132,     6248,     6367,     6489,     6613,     6741,     6871,     7005,     7142,     7282,     7426,     7573,     7723,     7877,     8035,     8197,     8362,     8532,     8705,     8883,     9065,     9252,     9443,     9639,     9840,    10045,    10256,    10472,    10693,    10920,    11152,    11390,    11634,    11884,    12141,    12404,    12673,    12949,    13233,    13523,    13821,    14126,    14439,    14760,    15089,    15427,    15773,    16128,    16492,    16866
Grass and Herbs [5],     5608,     5349,     5110,     4886,     4676,     4479,     4292,     4115,     3946,     3785,     3631,     3482,     3340,     3202,     3069,     2940,     2815,     2694,     2576,     2462,     2351,     2243,     2139,     2037,     1939,     1844,     1753,     1664,     1579,     1498,     1420,     1345,     1274,     1207,     1144,     1084,     1027,      975,      925,      880,      837,      798,      762,      729,      699,      671,      646,      623,      602,      583,      566,      551,      537,      524,      513,      502,      493,      485,      477,      470,      464,      458,      453,      449,      444,      441,      437,      434,      431,      428,      425,      423,      421,      418,      416,      414,      413,      411,      409,      407,      405,      404,      402,      400,      399,      397,      395,      394,      392,      390,      389,      387,      385,      383,      382,      380,      378,      376,      374,      372,      370,      368,      366,      364,      362,      360,      358,      355,      353,      351,      349,      347,      344,      342,      340,      337,      335,      333,      330,      328,      325,      323,      320,      318,      316,      313,      311,      308,      306,      303,      301,      298,      296,      293,      291,      288,      285,      283,      280,      278,      275,      273,      270,      268,      265,      263,      260,      258,      255,      253,      251,      248,      246,      243,      241,      238,      236,      234,      231,      229,      227,      224,      222,      220,      217,      215,      213,      211,      208,      206,      204,      202,      200,      197,      195,      193,      191,      189,      187,      185,      183,      181,      179,      177,      175,      173,      171,      169,      167,      165,      163,      161,      160,      158,      156,      154,      152,      151,      149,      147
Bohor Reedbuck [82],     1764,     1812,     1860,     1907,     1954,     1999,     2043,     2086,     2127,     2167,     2204,     2240,     2272,     2302,     2329,     2353,     2373,     2389,     2401,     2408,     2411,     2410,     2403,     2390,     2372,     2349,     2320,     2286,     2245,     2199,     2148,     2092,     2031,     1965,     1895,     1822,     1746,     1667,     1587,     1506,     1424,     1342,     1261,     1182,     1104,     1029,      956,      886,      820,      757,      697,      640,      588,      538,      492,      450,      410,      374,      340,      309,      281,      254,      231,      209,      189,      171,      154,      139,      126,      113,      102,       92,       83,       74,       67,       60,       54,       48,       43,       39,       35,       31,       28,       25,       22,       20,       18,       16,       14,       12,       11,       10,        9,        8,        7,        6,        5,        5,        4,        4,        3,        3,        3,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Hippopotamus [94],     1761,     1791,     1821,     1851,     1882,     1914,     1945,     1977,     2009,     2042,     2075,     2108,     2141,     2175,     2209,     2244,     2279,     2313,     2349,     2384,     2420,     2455,     2491,     2527,     2563,     2599,     2635,     2671,     2707,     2743,     2779,     2814,     2850,     2885,     2919,     2954,     2988,     3021,     3055,     3087,     3120,     3151,     3183,     3214,     3244,     3274,     3304,     3333,     3362,     3390,     3418,     3446,     3473,     3500,     3527,     3554,     3581,     3607,     3633,     3659,     3685,     3711,     3737,     3763,     3788,     3814,     3840,     3866,     3892,     3917,     3943,     3969,     3995,     4021,     4047,     4073,     4099,     4125,     4152,     4178,     4204,     4231,     4258,     4284,     4311,     4338,     4364,     4391,     4418,     4445,     4472,     4499,     4527,     4554,     4581,     4608,     4636,     4663,     4691,     4718,     4745,     4773,     4800,     4828,     4855,     4883,     4911,     4938,     4965,     4993,     5020,     5048,     5075,     5103,     5130,     5157,     5184,     5212,     5239,     5266,     5293,     5320,     5347,     5373,     5400,     5427,     5453,     5479,     5506,     5532,     5558,     5584,     5609,     5635,     5661,     5686,     5711,     5736,     5761,     5786,     5811,     5835,     5859,     5883,     5907,     5931,     5954,     5978,     6001,     6024,     6047,     6069,     6091,     6113,     6135,     6157,     6178,     6200,     6221,     6241,     6262,     6282,     6302,     6322,     6341,     6360,     6379,     6398,     6416,     6435,     6452,     6470,     6487,     6505,     6521,     6538,     6554,     6570,     6586,     6601,     6616,     6631,     6646,     6660,     6674,     6687,     6701,     6714,     6726,     6739,     6751,     6763,     6774,     6786,     6797,     6807,     6818,     6828,     6837,     6847
Southern Eland [89],     1170,     1190,     1209,     1228,     1247,     1265,     1284,     1301,     1318,     1335,     1351,     1366,     1381,     1395,     1408,     1420,     1431,     1442,     1451,     1459,     1466,     1472,     1476,     1479,     1481,     1481,     1480,     1477,     1473,     1467,     1459,     1450,     1440,     1428,     1414,     1400,     1384,     1366,     1348,     1329,     1309,     1288,     1266,     1245,     1222,     1200,     1178,     1155,     1133,     1111,     1089,     1068,     1047,     1026,     1006,      987,      968,      949,      931,      914,      897,      880,      864,      849,      834,      820,      806,      793,      780,      767,      755,      743,      732,      721,      710,      700,      690,      681,      671,      662,      653,      645,      636,      628,      621,      613,      605,      598,      591,      584,      578,      571,      565,      559,      552,      547,      541,      535,      529,      524,      519,      513,      508,      503,      498,      494,      489,      484,      480,      475,      471,      466,      462,      458,      454,      449,      445,      441,      437,      434,      430,      426,      422,      419,      415,      411,      408,      404,      401,      397,      394,      391,      387,      384,      381,      378,      374,      371,      368,      365,      362,      359,      356,      353,      350,      347,      344,      341,      339,      336,      333,      330,      328,      325,      322,      319,      317,      314,      312,      309,      306,      304,      301,      299,      296,      294,      291,      289,      287,      284,      282,      279,      277,      275,      273,      270,      268,      266,      264,      261,      259,      257,      255,      253,      251,      248,      246,      244,      242,      240,      238,      236,      234,      232,      230,      228,      226,      225,      223,      221
Nile Crocodile [91],     1447,     1439,     1430,     1421,     1411,     1401,     1390,     1378,     1366,     1354,     1340,     1326,     1312,     1296,     1280,     1263,     1246,     1228,     1209,     1189,     1168,     1147,     1125,     1102,     1078,     1053,     1028,     1002,      975,      947,      918,      889,      860,      829,      799,      767,      736,      705,      673,      641,      610,      579,      548,      518,      489,      460,      432,      405,      379,      354,      330,      308,      286,      265,      246,      227,      210,      194,      179,      165,      151,      139,      127,      117,      107,       98,       89,       82,       74,       68,       62,       56,       51,       46,       42,       38,       35,       31,       28,       26,       23,       21,       19,       17,       15,       14,       12,       11,       10,        9,        8,        7,        6,        6,        5,        4,        4,        4,        3,        3,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Leopard Tortoise [61],     1447,     1449,     1452,     1454,     1456,     1459,     1461,     1463,     1466,     1468,     1470,     1472,     1475,     1477,     1479,     1481,     1484,     1486,     1488,     1490,     1492,     1494,     1496,     1498,     1501,     1503,     1505,     1507,     1508,     1510,     1512,     1514,     1516,     1518,     1520,     1521,     1523,     1525,     1526,     1528,     1529,     1531,     1532,     1534,     1535,     1537,     1538,     1539,     1540,     1542,     1543,     1544,     1545,     1546,     1548,     1549,     1550,     1551,     1552,     1553,     1554,     1555,     1556,     1557,     1558,     1559,     1560,     1561,     1562,     1563,     1564,     1565,     1566,     1567,     1568,     1569,     1570,     1571,     1572,     1573,     1574,     1575,     1576,     1577,     1578,     1579,     1580,     1581,     1582,     1583,     1584,     1585,     1585,     1586,     1587,     1588,     1589,     1590,     1591,     1592,     1593,     1594,     1595,     1595,     1596,     1597,     1598,     1599,     1600,     1601,     1601,     1602,     1603,     1604,     1605,     1606,     1606,     1607,     1608,     1609,     1610,     1610,     1611,     1612,     1613,     1614,     1614,     1615,     1616,     1617,     1617,     1618,     1619,     1619,     1620,     1621,     1622,     1622,     1623,     1624,     1624,     1625,     1626,     1626,     1627,     1627,     1628,     1629,     1629,     1630,     1631,     1631,     1632,     1632,     1633,     1633,     1634,     1634,     1635,     1636,     1636,     1637,     1637,     1638,     1638,     1639,     1639,     1639,     1640,     1640,     1641,     1641,     1642,     1642,     1642,     1643,     1643,     1644,     1644,     1644,     1645,     1645,     1645,     1646,     1646,     1646,     1647,     1647,     1647,     1648,     1648,     1648,     1649,     1649,     1649,     1649,     1650,     1650,     1650,     1650
