,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Dwarf Mongoose [50],     1748,     1832,     1880,     1875,     1800,     1642,     1389,     1039,      615,      213,       26,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Crab [35],     1088,      927,      712,      507,      346,      232,      156,      107,       77,       60,       51,       45,       40,       35,       31,       28,       25,       22,       20,       18,       16,       14,       13,       12,       10,        9,        8,        8,        7,        6,        6,        5,        5,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Crops [1],     1336,      900,      574,      358,      224,      144,       95,       65,       46,       34,       25,       20,       15,       13,       10,        9,        7,        6,        6,        5,        4,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Marsh Owl [49],     1510,     1731,     1984,     2270,     2595,     2959,     3364,     3805,     4257,     4643,     4815,     4831,     4815,     4783,     4741,     4689,     4628,     4561,     4488,     4409,     4327,     4241,     4153,     4064,     3973,     3881,     3789,     3697,     3605,     3513,     3423,     3334,     3245,     3159,     3073,     2989,     2907,     2826,     2747,     2670,     2594,     2521,     2449,     2378,     2310,     2243,     2178,     2115,     2053,     1993,     1935,     1878,     1823,     1770,     1717,     1667,     1618,     1570,     1523,     1478,     1435,     1392,     1351,     1311,     1272,     1234,     1197,     1162,     1127,     1093,     1061,     1029,      999,      969,      940,      912,      885,      858,      833,      808,      784,      761,      738,      716,      694,      674,      654,      634,      615,      597,      579,      562,      545,      529,      513,      498,      483,      468,      454,      441,      428,      415,      402,      390,      379,      367,      357,      346,      336,      326,      316,      306,      297,      288,      280,      271,      263,      255,      248,      240,      233,      226,      219,      213,      207,      200,      194,      189,      183,      178,      172,      167,      162,      157,      153,      148,      144,      139,      135,      131,      127,      123,      120,      116,      113,      109,      106,      103,      100,       97,       94,       91,       88,       86,       83,       81,       78,       76,       74,       71,       69,       67,       65,       63,       61,       60,       58,       56,       54,       53,       51,       50,       48,       47,       45,       44,       43,       41,       40,       39,       38,       37,       36,       35,       33,       32,       32,       31,       30,       29,       28,       27,       26,       25,       25,       24,       23,       23,       22,       21
Mueller's Clawed Frog [32],     1249,      793,      480,      287,      175,      111,       74,       52,       39,       32,       29,       27,       26,       25,       24,       23,       22,       22,       21,       21,       20,       20,       20,       19,       19,       19,       19,       18,       18,       18,       18,       18,       18,       18,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       16,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13
Nile Monitor Lizard [64],     1081,      984,      879,      765,      643,      515,      385,      256,      135,       42,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Ants [11],     1237,     1122,      948,      773,      628,      519,      441,      382,      337,      299,      266,      237,      212,      189,      170,      152,      137,      123,      111,      101,       91,       83,       75,       69,       62,       57,       52,       47,       43,       40,       36,       33,       30,       28,       26,       23,       21,       20,       18,       17,       15,       14,       13,       12,       11,       10,        9,        8,        8,        7,        7,        6,        6,        5,        5,        4,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
