,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Hooded Vulture [51],     1343,     1468,     1607,     1759,     1927,     2113,     2317,     2542,     2791,     3065,     3368,     3702,     4070,     4476,     4925,     5419,     5965,     6568,     7233,     7966,     8776,     9668,    10653,    11740,    12939,    14261,    15719,    17327,    19101,    21058,    23216,    25595,    28220,    31115,    34307,    37827,    41709,    45990,    50711,    55918,    61659,    67991,    74973,    82672,    91163,   100526,   110852,   122238,   134794,   148640,   163909,   180746,   199314,   219789,   242367,   267265,   294722,   324999,   358387,   395204,   435805,   480577,   529948,   584391,   644428,   710633,   783640,   864147,   952925,  1050823,  1158780,  1277827,  1409105,  1553869,  1713506,  1889544,  2083667,  2297733,  2533792,  2794102,  3081155,  3397699,  3746764,  4131689,  4556161,  5024240,  5540408,  6109605,  6737279,  7429437,  8192705,  9034387,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Dwarf Mongoose [50],     1719,     1988,     2296,     2649,     3053,     3515,     4044,     4648,     5341,     6137,     7056,     8120,     9352,    10780,    12438,    14361,    16595,    19189,    22202,    25702,    29771,    34499,    39996,    46388,    53820,    62464,    72518,    84213,    97819,   113649,   132068,   153501,   178443,   207470,   241253,   280572,   326338,   379609,   441618,   513802,   597831,   695653,   809534,   942113,  1096464,  1276166,  1485385,  1728973,  2012581,  2342787,  2727252,  3174896,  3696107,  4302979,  5009596,  5832358,  6790362,  7905844,  9204698, 10717074, 12478082, 14528604, 16916245, 19696438, 22933733, 26703293, 31092642, 36203696, 42155129, 49085134, 57154626, 66550982, 77492392, 90232926,105068436,122343422,142459038,165882405,193157459,224917584,261900320,304964495,355110164,413501837,481495523,560670220,652864587,760219639,885228475,1030794171,1200297203,1397673951,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Cape Teal [33],     1351,     1363,     1374,     1384,     1390,     1390,     1378,     1349,     1295,     1214,     1112,     1003,      897,      800,      714,      639,      572,      514,      463,      419,      379,      345,      314,      287,      263,      242,      222,      205,      190,      176,      164,      152,      142,      133,      124,      117,      110,      103,       97,       92,       87,       82,       78,       74,       70,       66,       63,       60,       57,       55,       52,       50,       48,       46,       44,       42,       40,       39,       37,       36,       34,       33,       32,       30,       29,       28,       27,       26,       25,       24,       23,       23,       22,       21,       20,       20,       19,       18,       18,       17,       17,       16,       16,       15,       15,       14,       14,       13,       13,       13,       12,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Fruits and Nectar [3],     5346,     4274,     3418,     2698,     2074,     1527,     1055,      669,      380,      193,       89,       39,       17,        7,        3,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Pearl-Spotted Owlet [39],     1789,     1877,     1971,     2069,     2173,     2283,     2398,     2520,     2649,     2785,     2928,     3079,     3238,     3406,     3583,     3770,     3968,     4177,     4398,     4631,     4877,     5137,     5412,     5702,     6009,     6332,     6674,     7034,     7415,     7817,     8242,     8690,     9163,     9662,    10189,    10745,    11332,    11952,    12606,    13296,    14024,    14792,    15603,    16459,    17362,    18314,    19320,    20380,    21500,    22681,    23927,    25242,    26629,    28093,    29638,    31267,    32987,    34801,    36715,    38734,    40865,    43113,    45485,    47988,    50629,    53415,    56354,    59455,    62727,    66179,    69822,    73665,    77719,    81997,    86510,    91272,    96296,   101596,   107188,   113089,   119314,   125882,   132811,   140122,   147835,   155974,   164560,   173619,   183176,   193260,   203899,   215123,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Black and White Columbus Monkey [66],     1031,     1057,     1086,     1117,     1150,     1182,     1213,     1240,     1257,     1262,     1256,     1242,     1224,     1205,     1186,     1169,     1151,     1135,     1118,     1103,     1087,     1073,     1058,     1043,     1029,     1015,     1002,      988,      975,      962,      949,      936,      924,      911,      899,      887,      875,      863,      852,      841,      829,      818,      807,      796,      786,      775,      765,      755,      744,      735,      725,      715,      705,      696,      687,      677,      668,      659,      651,      642,      633,      625,      616,      608,      600,      592,      584,      576,      569,      561,      553,      546,      539,      532,      524,      517,      511,      504,      497,      490,      484,      478,      471,      465,      460,      454,      449,      443,      438,      430,      420,      400,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Rufous Beaked Snake [44],     1919,     1806,     1692,     1578,     1462,     1342,     1215,     1081,      936,      786,      641,      513,      407,      323,      256,      204,      164,      132,      107,       87,       71,       58,       48,       40,       34,       28,       24,       20,       17,       15,       13,       11,        9,        8,        7,        6,        5,        5,        4,        4,        3,        3,        3,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
