,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
African Clawless Otter [70],     1613,     1592,     1541,     1452,     1315,     1122,      869,      568,      274,       88,       22,        6,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Topi [87],     1658,     1617,     1546,     1438,     1286,     1085,      830,      537,      257,       82,       21,        5,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Grass and Herbs [5],     6120,     5125,     4239,     3429,     2674,     1961,     1297,      711,      279,       70,       14,        3,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Grey Hornbill [42],     1716,     1984,     2283,     2613,     2969,     3342,     3711,     4034,     4234,     4248,     4143,     4009,     3873,     3741,     3613,     3489,     3370,     3255,     3144,     3036,     2932,     2832,     2735,     2642,     2552,     2464,     2380,     2299,     2220,     2144,     2071,     2000,     1932,     1866,     1802,     1740,     1681,     1623,     1568,     1514,     1463,     1413,     1364,     1318,     1273,     1229,     1187,     1147,     1107,     1070,     1033,      998,      964,      931,      899,      868,      838,      810,      782,      755,      729,      705,      680,      657,      635,      613,      592,      572,      552,      533,      515,      498,      481,      464,      448,      433,      418,      404,      390,      377,      364,      351,      339,      328,      317,      306,      295,      285,      275,      266,      257,      248,      240,      232,      224,      216,      209,      201,      195,      188,      181,      175,      169,      163,      158,      153,      147,      142,      137,      133,      128,      124,      120,      115,      112,      108,      104,      100,       97,       94,       91,       87,       84,       82,       79,       76,       73,       71,       69,       66,       64,       62,       60,       58,       56,       54,       52,       50,       48,       47,       45,       44,       42,       41,       39,       38,       37,       35,       34,       33,       32,       31,       30,       29,       28,       27,       26,       25,       24,       23,       23,       22,       21,       20,       20,       19,       18,       18,       17,       16,       16,       15,       15,       14,       14,       13,       13,       12,       12,       12,       11,       11,       10,       10,       10,        9,        9,        9,        9,        8,        8,        8,        7,        7,        7,        7,        6,        6,        6,        6
Black Rhinoceros [93],     1996,     2257,     2547,     2864,     3208,     3571,     3937,     4269,     4494,     4543,     4466,     4356,     4240,     4127,     4016,     3907,     3802,     3700,     3600,     3503,     3409,     3317,     3228,     3141,     3056,     2974,     2894,     2816,     2740,     2666,     2595,     2525,     2457,     2391,     2326,     2264,     2203,     2143,     2086,     2029,     1975,     1922,     1870,     1820,     1771,     1723,     1677,     1631,     1587,     1545,     1503,     1463,     1423,     1385,     1348,     1311,     1276,     1242,     1208,     1176,     1144,     1113,     1083,     1054,     1026,      998,      971,      945,      920,      895,      871,      847,      825,      802,      781,      760,      739,      719,      700,      681,      663,      645,      628,      611,      594,      578,      563,      547,      533,      518,      504,      491,      478,      465,      452,      440,      428,      417,      405,      395,      384,      374,      364,      354,      344,      335,      326,      317,      309,      300,      292,      284,      277,      269,      262,      255,      248,      241,      235,      229,      222,      216,      211,      205,      199,      194,      189,      184,      179,      174,      169,      165,      160,      156,      152,      148,      144,      140,      136,      132,      129,      125,      122,      119,      116,      112,      109,      106,      104,      101,       98,       95,       93,       90,       88,       86,       83,       81,       79,       77,       75,       73,       71,       69,       67,       65,       63,       62,       60,       58,       57,       55,       54,       52,       51,       50,       48,       47,       46,       44,       43,       42,       41,       40,       39,       38,       37,       36,       35,       34,       33,       32,       31,       30,       30,       29,       28,       27,       26,       26
Nile Crocodile [91],     1934,     1829,     1696,     1532,     1332,     1093,      817,      518,      245,       78,       20,        5,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Wild Dog [74],     1025,     1059,     1094,     1131,     1170,     1210,     1253,     1298,     1345,     1394,     1446,     1500,     1557,     1617,     1680,     1746,     1816,     1889,     1965,     2046,     2131,     2221,     2315,     2414,     2518,     2628,     2743,     2865,     2993,     3127,     3269,     3419,     3576,     3742,     3917,     4101,     4295,     4499,     4714,     4941,     5180,     5433,     5698,     5978,     6273,     6584,     6912,     7258,     7622,     8006,     8411,     8837,     9287,     9762,    10262,    10789,    11345,    11931,    12548,    13200,    13886,    14610,    15374,    16178,    17027,    17922,    18865,    19860,    20908,    22014,    23180,    24409,    25705,    27071,    28512,    30031,    31633,    33322,    35103,    36981,    38960,    41048,    43249,    45570,    48017,    50597,    53318,    56186,    59211,    62400,    65763,    69308,    73047,    76989,    81145,    85528,    90149,    95021,   100158,   105575,   111287,   117309,   123659,   130355,   137415,   144859,   152708,   160984,   169710,   178911,   188612,   198842,   209628,   221001,   232992,   245637,   258969,   273026,   287848,   303477,   319956,   337331,   355652,   374970,   395339,   416816,   439461,   463339,   488516,   515062,   543053,   572567,   603687,   636500,   671098,   707578,   746043,   786601,   829366,   874458,   922003,   972134,  1024994,  1080729,  1139497,  1201462,  1266798,  1335690,  1408329,  1484921,  1565680,  1650833,  1740619,  1835290,  1935112,  2040365,  2151345,  2268362,  2391747,  2521844,  2659020,  2803660,  2956169,  3116975,  3286531,  3465312,  3653820,  3852585,  4062164,  4283146,  4516150,  4761833,  5020882,  5294026,  5582030,  5885705,  6205902,  6543520,  6899508,  7274864,  7670642,  8087954,  8527971,  8991928,  9481129,  9996946, 10540827, 11114300, 11718975, 12356548, 13028811, 13737650, 14485056, 15273127, 16104075, 16980233, 17904062, 18878154, 19905244, 20988217
