,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Ostrich [85],     1874,     2101,     2334,     2523,     2520,     2455,     2392,     2331,     2271,     2213,     2156,     2101,     2047,     1994,     1943,     1893,     1844,     1797,     1751,     1706,     1662,     1620,     1578,     1537,     1498,     1460,     1422,     1386,     1350,     1315,     1282,     1249,     1217,     1185,     1155,     1125,     1096,     1068,     1041,     1014,      988,      963,      938,      914,      891,      868,      845,      824,      803,      782,      762,      742,      723,      705,      687,      669,      652,      635,      619,      603,      587,      572,      558,      543,      529,      516,      503,      490,      477,      465,      453,      441,      430,      419,      408,      398,      387,      378,      368,      358,      349,      340,      331,      323,      315,      307,      299,      291,      284,      276,      269,      262,      256,      249,      243,      236,      230,      224,      219,      213,      208,      202,      197,      192,      187,      182,      178,      173,      169,      164,      160,      156,      152,      148,      144,      141,      137,      133,      130,      127,      123,      120,      117,      114,      111,      108,      106,      103,      100,       98,       95,       93,       90,       88,       86,       84,       81,       79,       77,       75,       73,       71,       70,       68,       66,       64,       63,       61,       60,       58,       57,       55,       54,       52,       51,       50,       48,       47,       46,       45,       44,       42,       41,       40,       39,       38,       37,       36,       35,       35,       34,       33,       32,       31,       30,       30,       29,       28,       27,       27,       26,       25,       25,       24,       23,       23,       22,       22,       21,       21,       20,       19,       19,       18,       18,       18,       17,       17,       16,       16
Black and White Columbus Monkey [66],     1660,     1758,     1854,     1928,     1927,     1902,     1877,     1853,     1829,     1805,     1781,     1758,     1735,     1713,     1690,     1668,     1647,     1625,     1604,     1583,     1563,     1542,     1522,     1503,     1483,     1464,     1445,     1426,     1407,     1389,     1371,     1353,     1335,     1318,     1301,     1284,     1267,     1251,     1235,     1218,     1203,     1187,     1172,     1156,     1141,     1126,     1112,     1097,     1083,     1069,     1055,     1041,     1028,     1014,     1001,      988,      975,      963,      950,      938,      926,      913,      902,      890,      878,      867,      856,      844,      833,      823,      812,      801,      791,      781,      770,      760,      751,      741,      731,      722,      712,      703,      694,      685,      676,      667,      658,      650,      641,      633,      625,      617,      609,      601,      593,      585,      578,      570,      563,      555,      548,      541,      534,      527,      520,      513,      507,      500,      494,      487,      481,      475,      468,      462,      456,      450,      445,      439,      433,      427,      422,      416,      411,      406,      400,      395,      390,      385,      380,      375,      370,      365,      360,      356,      351,      347,      342,      338,      333,      329,      325,      320,      316,      312,      308,      304,      300,      296,      292,      289,      285,      281,      277,      274,      270,      267,      263,      260,      256,      253,      250,      247,      243,      240,      237,      234,      231,      228,      225,      222,      219,      216,      214,      211,      208,      205,      203,      200,      197,      195,      192,      190,      187,      185,      182,      180,      178,      175,      173,      171,      169,      166,      164,      162,      160,      158,      156,      154,      152,      150
Baobab [7],     5320,     3602,     1928,      402,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Elephant [95],     1754,     2465,     3378,     4261,     4243,     3927,     3634,     3363,     3112,     2880,     2665,     2466,     2282,     2111,     1954,     1808,     1673,     1548,     1432,     1326,     1227,     1135,     1050,      972,      899,      832,      770,      713,      659,      610,      565,      522,      483,      447,      414,      383,      354,      328,      304,      281,      260,      240,      223,      206,      191,      176,      163,      151,      140,      129,      120,      111,      102,       95,       88,       81,       75,       69,       64,       60,       55,       51,       47,       44,       40,       37,       35,       32,       30,       27,       25,       23,       22,       20,       19,       17,       16,       15,       14,       13,       12,       11,       10,        9,        9,        8,        7,        7,        6,        6,        5,        5,        5,        4,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
