,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Hooded Vulture [51],     1761,     1894,     2039,     2199,     2374,     2566,     2778,     3011,     3267,     3549,     3860,     4201,     4578,     4992,     5449,     5952,     6506,     7117,     7791,     8533,     9351,    10253,    11248,    12344,    13553,    14886,    16355,    17976,    19762,    21732,    23905,    26300,    28942,    31854,    35066,    38608,    42514,    46820,    51569,    56806,    62581,    68949,    75972,    83715,    92255,   101671,   112055,   123506,   136133,   150057,   165412,   182344,   201016,   221606,   244311,   269349,   296959,   327406,   360980,   398004,   438832,   483854,   533501,   588249,   648622,   715197,   788612,   869568,   958842,  1057288,  1165848,  1285560,  1417571,  1563145,  1723674,  1900695,  2095902,  2311164,  2548541,  2810305,  3098962,  3417274,  3768288,  4155364,  4582206,  5052900,  5571951,  6144327,  6775507,  7471531,  8239062,  9085445, 10018782, 11048006, 12182967, 13434530, 14814673, 16336605, 18014895, 19865604, 21906447, 24156957, 26638675, 29375353, 32393186, 35721058, 39390820, 43437598, 47900124, 52821110, 58247656, 64231702, 70830522, 78107276, 86131612, 94980333,104738132,115498405,127364141,140448910,154877950,170789367,188335452,207684145,229020637,252549147,278494872,307106147,338656817,373448865,411815294,454123322,500777889,552225542,608958699,671520371,740509354,816585961,900478343,992989459,1095004759,1207500662,1331553898,1468351818,1619203752,1785553550,1968993393,2171279038,2394346618,2640331179,2911587110,3210710679,3540564887,3904306863,4305418086,4747737710,5235499302,5773371372,6366502049,7020568357,7741830557,8537192058,9414265494,10381445591,11447989511,12624105453,13921050365,15351237684,16928356146,18667500811,20585317536,22700162302,25032276902,27603982680,30439894180,33567154732,37015696255,40818525740,45012041172,49636379903,54735802822,60359117983,66560147769,73398244034,80938856182,89254157598,98423736447,108535357426,119685801794,131981793688,145541021616,160493264881,176981635741,195163949178,215214233389,237324395460,261706058169,288592585481,318241316151,350936026782
Lion [86],     1972,     1994,     2015,     2036,     2057,     2079,     2100,     2123,     2146,     2170,     2196,     2222,     2249,     2278,     2309,     2341,     2374,     2410,     2447,     2487,     2528,     2572,     2618,     2667,     2718,     2772,     2828,     2887,     2949,     3015,     3083,     3154,     3229,     3307,     3389,     3474,     3563,     3656,     3752,     3853,     3958,     4067,     4181,     4299,     4422,     4550,     4682,     4820,     4963,     5111,     5265,     5425,     5591,     5763,     5941,     6126,     6317,     6515,     6721,     6933,     7154,     7382,     7618,     7863,     8116,     8378,     8650,     8930,     9221,     9522,     9833,    10155,    10488,    10832,    11188,    11557,    11938,    12333,    12741,    13163,    13599,    14050,    14517,    14999,    15498,    16014,    16547,    17099,    17669,    18259,    18869,    19499,    20151,    20825,    21522,    22242,    22987,    23757,    24553,    25375,    26226,    27105,    28015,    28954,    29926,    30930,    31969,    33042,    34152,    35299,    36484,    37710,    38977,    40287,    41641,    43040,    44487,    45983,    47529,    49127,    50779,    52486,    54252,    56076,    57962,    59912,    61927,    64011,    66164,    68390,    70691,    73070,    75528,    78070,    80697,    83412,    86219,    89120,    92120,    95220,    98424,   101737,   105161,   108700,   112359,   116140,   120049,   124090,   128267,   132584,   137047,   141660,   146428,   151357,   156451,   161718,   167161,   172788,   178605,   184617,   190831,   197255,   203895,   210759,   217854,   225187,   232768,   240604,   248703,   257075,   265729,   274675,   283921,   293479,   303359,   313571,   324127,   335038,   346317,   357976,   370027,   382483,   395359,   408669,   422426,   436647,   451347,   466541,   482247,   498482,   515263,   532609,   550539,   569073,   588230,   608033,   628502,   649661,   671531,   694138
Greater Bushbaby [55],     1787,     1736,     1711,     1707,     1720,     1749,     1791,     1847,     1916,     1999,     2095,     2204,     2329,     2470,     2628,     2804,     3000,     3218,     3459,     3727,     4023,     4350,     4711,     5109,     5549,     6035,     6570,     7160,     7811,     8528,     9319,    10191,    11152,    12211,    13379,    14665,    16084,    17647,    19370,    21270,    23364,    25672,    28216,    31020,    34111,    37519,    41276,    45418,    49984,    55018,    60567,    66685,    73431,    80868,    89067,    98107,   108074,   119064,   131181,   144541,   159272,   175514,   193423,   213170,   234943,   258951,   285424,   314614,   346801,   382292,   421428,   464581,   512165,   564635,   622493,   686293,   756644,   834220,   919763,  1014091,  1118107,  1232806,  1359286,  1498756,  1652552,  1822144,  2009156,  2215378,  2442782,  2693544,  2970066,  3274991,  3611240,  3982029,  4390907,  4841787,  5338983,  5887256,  6491850,  7158554,  7893746,  8704464,  9598467, 10584310, 11671429, 12870228, 14192182, 15649941, 17257457, 19030118, 20984887, 23140474, 25517511, 28138747, 31029270, 34216746, 37731683, 41607721, 45881959, 50595306, 55792873, 61524408, 67844767, 74814444, 82500146, 90975434,100321427,110627578,121992527,134525051,148345102,163584955,180390472,198922503,219358423,241893828,266744410,294148020,324366944,357690416,394437381,434959555,479644786,528920767,583259131,643179966,709256789,782122039,862473129,951079121,1048788086,1156535224,1275351811,1406375075,1550859074,1710186705,1885882937,2079629407,2293280516,2528881181,2788686399,3075182841,3391112644,3739499662,4123678406,4547325959,5014497172,5529663474,6097755668,6724211127,7415025835,8176811777,9016860224,9943211520,10964732039,12091199048,13333394286,14703207160,16213748543,17879476262,19716333476,21741901276,23975566953,26438709567,29154904566,32150149437,35453112533,39095407468,43111895699,47541020196,52425173389,57811102922,63750359083,70299788213,77522076791,85486351433,94268840516,103953603786,114633336916,126410258726
Leopard [80],     1309,     1472,     1657,     1867,     2105,     2375,     2683,     3033,     3432,     3887,     4407,     5000,     5678,     6454,     7342,     8358,     9524,    10860,    12394,    14155,    16178,    18504,    21180,    24259,    27805,    31890,    36599,    42029,    48294,    55525,    63874,    73517,    84661,    97542,   112436,   129664,   149596,   172664,   199368,   230289,   266102,   307589,   355659,   411369,   475944,   550808,   637615,   738285,   855051,   990502,  1147652,  1329996,  1541598,  1787181,  2072228,  2403114,  2787243,  3233221,  3751047,  4352339,  5050599,  5861519,  6803332,  7897229,  9167836, 10643775, 12358308, 14350095, 16664066, 19352440, 22475913, 26105028, 30321775, 35221456, 40914837, 47530667, 55218594, 64152563, 74534757, 86600187,100622025,116917796,135856590,157867431,183449018,213181039,247737327,287901157,334583019,388841291,451906254,525208031,610409038,709441737,824552494,958352587,1113877483,1294655761,1504789220,1749046012,2032968905,2363001130,2746632688,3192570413,3710935683,4313494242,5013923369,5828122460,6774574068,7874763607,9153667255,10640319126,12368470601,14377356792,16712587539,19427183184,22582778634,26251023080,30515207132,35472154353,41234420127,47932847823,55719540286,64771314165,75293715509,87525687844,101744998757,118274548211,137489701881,159826816062,185793147749,215978374989,251067989115,291858863067,339277349340,394400318624,458479616950,532970496806,619564667943,720228718519,837248779192,973282444560,1131419131184,1315250243033,1528950737935,1777373947562,2066161804484,2401872979757,2792131841280,3245801616058,3773185689201,4386261611541,5098953130626,5927446423429,6890557713017,8010160618453,9311682943875,10824684189764,12583526902809,14628157112001,17005011576163,19768072448269,22980093309993,26714024422122,31054669561018,36100612071103,41966453877745,48785418312888,56712375868654,65927361599658,76639664061111,89092578650455,103568933310191,120397512091401,139960522469646,162702276010566,189139279540089,219871966009473,255598331486079,297129787992671,345409592244278,401534268835370,466778514439944,542624148647781,630793768967179,733289874365366,852440345919045,990951317529962,1151968637503409,1339149316902884,1556744587413539,1809696455121810,2103749943137548,2445583572309366,2842961043507028,3304907566474039,3841914840025831,4466179339097236,5191879320607435,6035496839490987
Smith's Red Hock Hare [52],     1535,     1254,     1033,      858,      716,      600,      504,      424,      358,      302,      255,      215,      182,      154,      129,      109,       92,       77,       65,       54,       45,       38,       32,       26,       22,       18,       15,       12,       10,        8,        7,        6,        5,        4,        3,        2,        2,        2,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Baobab [7],     5087,     4183,     3524,     3022,     2627,     2307,     2044,     1823,     1635,     1473,     1333,     1210,     1102,     1006,      920,      843,      774,      711,      655,      604,      557,      514,      476,      440,      407,      377,      350,      324,      301,      280,      260,      241,      224,      209,      194,      181,      168,      156,      146,      136,      126,      118,      110,      102,       95,       89,       83,       77,       72,       67,       63,       59,       55,       51,       48,       45,       42,       39,       36,       34,       32,       30,       28,       26,       24,       23,       21,       20,       18,       17,       16,       15,       14,       13,       12,       11,       11,       10,        9,        9,        8,        8,        7,        7,        6,        6,        5,        5,        5,        4,        4,        4,        4,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Nile Crocodile [91],     1004,     1005,     1006,     1006,     1007,     1008,     1009,     1010,     1010,     1011,     1012,     1013,     1014,     1015,     1016,     1017,     1018,     1019,     1020,     1021,     1022,     1023,     1024,     1025,     1026,     1027,     1029,     1030,     1031,     1032,     1033,     1034,     1035,     1036,     1037,     1039,     1040,     1041,     1042,     1043,     1044,     1045,     1047,     1048,     1049,     1050,     1051,     1052,     1054,     1055,     1056,     1057,     1058,     1059,     1061,     1062,     1063,     1064,     1065,     1066,     1068,     1069,     1070,     1071,     1072,     1073,     1075,     1076,     1077,     1078,     1079,     1081,     1082,     1083,     1084,     1085,     1087,     1088,     1089,     1090,     1091,     1093,     1094,     1095,     1096,     1097,     1099,     1100,     1101,     1102,     1103,     1105,     1106,     1107,     1108,     1110,     1111,     1112,     1113,     1114,     1116,     1117,     1118,     1119,     1121,     1122,     1123,     1124,     1126,     1127,     1128,     1129,     1131,     1132,     1133,     1134,     1136,     1137,     1138,     1139,     1141,     1142,     1143,     1144,     1146,     1147,     1148,     1149,     1151,     1152,     1153,     1154,     1156,     1157,     1158,     1160,     1161,     1162,     1163,     1165,     1166,     1167,     1169,     1170,     1171,     1172,     1174,     1175,     1176,     1178,     1179,     1180,     1182,     1183,     1184,     1185,     1187,     1188,     1189,     1191,     1192,     1193,     1195,     1196,     1197,     1199,     1200,     1201,     1203,     1204,     1205,     1207,     1208,     1209,     1211,     1212,     1213,     1215,     1216,     1217,     1219,     1220,     1221,     1223,     1224,     1225,     1227,     1228,     1229,     1231,     1232,     1233,     1235,     1236,     1238,     1239,     1240,     1242,     1243,     1244
