,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Hooded Vulture [51],     1447,     1956,     2425,     2487,     2299,     2105,     1925,     1761,     1611,     1474,     1349,     1234,     1129,     1032,      945,      864,      790,      723,      662,      605,      554,      506,      463,      424,      388,      355,      325,      297,      272,      248,      227,      208,      190,      174,      159,      146,      133,      122,      112,      102,       93,       85,       78,       71,       65,       60,       55,       50,       46,       42,       38,       35,       32,       29,       27,       25,       22,       21,       19,       17,       16,       14,       13,       12,       11,       10,        9,        8,        8,        7,        6,        6,        5,        5,        5,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        2,        2,        2,        3,        3,        3,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Serval Cat [69],     1468,     1785,     2052,     2086,     1982,     1872,     1767,     1668,     1574,     1486,     1402,     1324,     1249,     1179,     1113,     1051,      992,      936,      884,      834,      787,      743,      701,      662,      625,      590,      557,      525,      496,      468,      442,      417,      394,      372,      351,      331,      312,      295,      278,      263,      248,      234,      221,      209,      197,      186,      175,      166,      156,      148,      139,      131,      124,      117,      111,      104,       98,       93,       88,       83,       78,       74,       70,       66,       62,       59,       55,       52,       49,       46,       44,       41,       39,       37,       35,       33,       31,       29,       28,       26,       25,       23,       22,       21,       20,       18,       17,       16,       16,       15,       14,       13,       12,       12,       11,       10,       10,        9,        9,        8,        8,        7,        7,        7,        6,        6,        6,        5,        5,        5,        4,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        3,        3,        4,        4,        4,        5,        5,        6,        7,        8,       10,       11,       13,       15,       17,       19,       21,       23,       25,       27,       29,       30,       31,       32,       33,       33,       33,       33,       32,       32,       31,       30,       29,       28,       27,       26,       25,       24,       23,       22,       21,       20,       19,       18,       17,       16,       15,       14,       13,       13,       12,       11,       11,       10,       10,        9,        9,        8,        8,        7,        7,        6,        6,        6,        5,        5,        5,        5,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3
Dwarf Mongoose [50],     1741,     1422,      857,      276,       67,       18,        5,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Marsh Owl [49],     1916,     2135,     2351,     2501,     2526,     2481,     2415,     2345,     2276,     2208,     2142,     2078,     2016,     1956,     1898,     1841,     1786,     1733,     1681,     1631,     1582,     1535,     1489,     1445,     1401,     1360,     1319,     1280,     1241,     1204,     1168,     1133,     1100,     1067,     1035,     1004,      974,      945,      917,      889,      863,      837,      812,      788,      764,      741,      719,      698,      677,      657,      637,      618,      600,      582,      564,      547,      531,      515,      500,      485,      470,      456,      443,      430,      417,      404,      392,      381,      369,      358,      347,      337,      327,      317,      308,      299,      290,      281,      273,      264,      257,      249,      241,      234,      227,      220,      214,      207,      201,      195,      189,      184,      178,      173,      168,      163,      158,      153,      149,      144,      140,      136,      132,      128,      124,      120,      117,      113,      110,      106,      103,      100,       97,       94,       92,       89,       86,       84,       81,       79,       76,       74,       72,       70,       68,       66,       64,       62,       60,       58,       56,       55,       53,       51,       50,       48,       47,       46,       44,       43,       42,       40,       39,       38,       37,       36,       35,       34,       33,       32,       31,       30,       29,       28,       27,       26,       26,       25,       24,       23,       23,       22,       21,       21,       20,       19,       19,       18,       18,       17,       17,       16,       16,       15,       15,       14,       14,       14,       13,       13,       12,       12,       12,       11,       11,       11,       10,       10,       10,        9,        9,        9,        9,        8,        8,        8,        8,        7,        7,        7
Bush Hyrax [48],     1640,     1058,      353,       34,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        2,        2,        3,        3,        4,        5,        7,        8,       11,       13,       17,       22,       28,       36,       46,       59,       76,       97,      124,      159,      204,      260,      329,      413,      511,      618,      723,      804,      841,      824,      768,      694,      618,      545,      478,      418,      364,      316,      274,      237,      204,      175,      151,      129,      111,       95,       81,       69,       59,       50,       43,       36,       31,       26,       23,       19,       16,       14,       12,       10,        9,        8,        6,        6,        5,        4,        4,        3,        3,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Leopard [80],     1001,     1033,     1056,     1059,     1050,     1041,     1031,     1022,     1012,     1003,      994,      985,      976,      967,      958,      949,      940,      932,      923,      915,      906,      898,      890,      881,      873,      865,      857,      850,      842,      834,      826,      819,      811,      804,      796,      789,      782,      775,      768,      761,      754,      747,      740,      733,      726,      720,      713,      706,      700,      694,      687,      681,      675,      668,      662,      656,      650,      644,      638,      632,      627,      621,      615,      610,      604,      598,      593,      587,      582,      577,      571,      566,      561,      556,      551,      546,      541,      536,      531,      526,      521,      516,      512,      507,      502,      498,      493,      489,      484,      480,      475,      471,      467,      462,      458,      454,      450,      446,      442,      438,      434,      430,      426,      422,      418,      414,      411,      407,      404,      400,      397,      394,      390,      387,      385,      382,      380,      378,      377,      375,      375,      375,      376,      379,      382,      386,      391,      398,      406,      416,      426,      437,      448,      459,      470,      481,      491,      500,      508,      516,      523,      529,      534,      538,      541,      544,      545,      546,      546,      546,      544,      543,      541,      538,      536,      533,      529,      526,      522,      518,      514,      510,      506,      502,      498,      494,      490,      485,      481,      477,      473,      468,      464,      460,      456,      452,      448,      444,      440,      436,      432,      428,      424,      420,      416,      412,      409,      405,      401,      398,      394,      390,      387,      383,      380,      376,      373,      369,      366,      363
Baobab [7],     7319,     5598,     4657,     4170,     3840,     3575,     3355,     3169,     3011,     2874,     2755,     2651,     2558,     2476,     2403,     2337,     2278,     2224,     2176,     2131,     2091,     2053,     2019,     1988,     1959,     1932,     1907,     1884,     1862,     1842,     1824,     1806,     1790,     1775,     1761,     1748,     1735,     1724,     1713,     1702,     1693,     1684,     1675,     1667,     1659,     1652,     1646,     1639,     1633,     1627,     1622,     1617,     1612,     1608,     1603,     1599,     1595,     1592,     1588,     1585,     1582,     1579,     1576,     1574,     1571,     1569,     1567,     1564,     1562,     1560,     1559,     1557,     1555,     1554,     1552,     1551,     1550,     1548,     1547,     1546,     1545,     1544,     1543,     1542,     1541,     1540,     1539,     1539,     1538,     1537,     1536,     1536,     1535,     1535,     1534,     1533,     1533,     1532,     1532,     1531,     1530,     1530,     1529,     1528,     1527,     1526,     1525,     1523,     1521,     1519,     1516,     1513,     1509,     1503,     1497,     1488,     1477,     1463,     1445,     1422,     1393,     1355,     1307,     1247,     1170,     1074,      955,      813,      649,      473,      305,      172,       86,       42,       21,       11,        6,        4,        2,        2,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        2,        2,        2,        2,        2,        2,        2,        2,        2
