,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
African Clawless Otter [70],     1454,     1934,     2585,     3467,     4663,     6286,     8490,    11484,    15555,    21095,    28635,    38901,    52881,    71920,    97848,   133162,   181258,   246763,   335979,   457491,   622987,   848390,  1155385,  1573508,  2142984,  2918602,  3974980,  5413752,  7373336, 10042257, 13677287, 18628139, 25371121, 34554956, 47063194, 64099215, 87302006,118903839,161945034,220566459,300407910,409150700,557256656,758974618,1033711284,1407898265,1917534999,2611652147,3557028693,4844616555,6598290802,8986767312,12239834436,16670460264,22704902370,30923716809,42117611722,57363519052,78128203029,106409373268,144927878581,197389471896,268841329928,366157627307,498700880857,679222689996,925090530886,1259958630602,1716043671255,2337224262909,3183262376535,4335552868744,5904954243283,8042454023985,10953694823585,14918758619038,20319112620731,27674309118969,37691970092812,51335865454532,69918634538814,95228071300447,129699122750625,176648148099230,240591975991159,327682455401803,446298307064531,607851215727867,827883715024804,1127564489251827,1535724950675798,2091633025524897,2848771006514726,3879980928070533,5284472485771696,7197367711486497,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Grass and Herbs [5],     5286,     3469,     2124,     1157,      508,      146,       27,        4,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Grey Hornbill [42],     1998,     1870,     1344,      545,       68,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Black Rhinoceros [93],     1860,     1893,     1925,     1953,     1974,     1984,     1982,     1975,     1967,     1959,     1951,     1943,     1935,     1927,     1920,     1912,     1904,     1896,     1889,     1881,     1873,     1866,     1858,     1851,     1843,     1836,     1828,     1821,     1813,     1806,     1799,     1791,     1784,     1777,     1770,     1763,     1755,     1748,     1741,     1734,     1727,     1720,     1713,     1706,     1699,     1692,     1686,     1679,     1672,     1665,     1658,     1652,     1645,     1638,     1632,     1625,     1618,     1612,     1605,     1599,     1592,     1586,     1579,     1573,     1567,     1560,     1554,     1548,     1541,     1535,     1529,     1523,     1517,     1510,     1504,     1498,     1492,     1486,     1480,     1474,     1468,     1462,     1456,     1450,     1444,     1438,     1433,     1427,     1421,     1415,     1410,     1404,     1398,     1392,     1387,     1381,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Elephant [95],     1576,     2325,     3337,     4577,     5798,     6450,     6301,     5839,     5353,     4900,     4483,     4102,     3753,     3434,     3141,     2874,     2630,     2406,     2201,     2014,     1843,     1686,     1543,     1411,     1291,     1181,     1081,      989,      905,      828,      757,      693,      634,      580,      531,      486,      444,      407,      372,      340,      311,      285,      261,      238,      218,      200,      183,      167,      153,      140,      128,      117,      107,       98,       90,       82,       75,       69,       63,       57,       53,       48,       44,       40,       37,       34,       31,       28,       26,       24,       22,       20,       18,       17,       15,       14,       13,       12,       11,       10,        9,        8,        7,        7,        6,        6,        5,        5,        4,        4,        4,        3,        3,        3,        3,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Oribi [73],     1866,     2211,     2589,     2973,     3296,     3453,     3418,     3306,     3183,     3062,     2946,     2833,     2726,     2622,     2522,     2426,     2334,     2245,     2159,     2077,     1998,     1922,     1849,     1778,     1710,     1645,     1583,     1522,     1464,     1409,     1355,     1303,     1254,     1206,     1160,     1116,     1073,     1033,      993,      955,      919,      884,      850,      818,      787,      757,      728,      700,      674,      648,      623,      600,      577,      555,      534,      513,      494,      475,      457,      439,      423,      407,      391,      376,      362,      348,      335,      322,      310,      298,      287,      276,      265,      255,      245,      236,      227,      218,      210,      202,      194,      187,      180,      173,      166,      160,      154,      148,      143,      137,      132,      127,      122,      117,      113,      109,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Leopard Tortoise [61],     1429,     1151,      719,      258,       30,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
