timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
i.80.calc,     1799,     1852,     1906,     1962,     2019,     2077,     2136,     2196,     2256,     2318,     2380,     2442,     2504,     2566,     2627,     2688,     2746,     2803,     2856,     2907,     2953,     2995,     3031,     3061,     3085,     3102,     3112,     3117,     3115,     3108,     3097,     3083,     3065,     3045,     3023,     3000,     2976,     2952,     2927,     2901,     2876,     2850,     2825,     2800,     2774,     2749,     2724,     2699,     2675,     2650,     2626,     2602,     2578,     2554,     2531,     2508,     2485,     2462,     2439,     2417,     2395,     2373,     2351,     2330,     2308,     2287,     2266,     2245,     2225,     2204,     2184,     2164,     2144,     2124,     2105,     2086,     2066,     2047,     2029,     2010,     1992,     1973,     1955,     1937,     1920,     1902,     1884,     1867,     1850,     1833,     1816,     1800,     1783,     1767,     1750,     1734,     1718,     1703,     1687,     1672,     1656,     1641,     1626,     1611,     1596,     1582,     1567,     1553,     1538,     1524,     1510,     1496,     1483,     1469,     1456,     1442,     1429,     1416,     1403,     1390,     1377,     1365,     1352,     1340,     1327,     1315,     1303,     1291,     1279,     1268,     1256,     1244,     1233,     1222,     1210,     1199,     1188,     1177,     1167,     1156,     1145,     1135,     1124,     1114,     1104,     1094,     1084,     1074,     1064,     1054,     1044,     1035,     1025,     1016,     1007,      997,      988,      979,      970,      961,      952,      944,      935,      926,      918,      910,      901,      893,      885,      877,      869,      861,      853,      845,      837,      829,      822,      814,      807,      799,      792,      785,      778,      770,      763,      756,      749,      743,      736,      729,      722,      716,      709,      703,      696,      690,      683,      677,      671,      665
i.7.calc,     6153,     5886,     5648,     5435,     5244,     5071,     4914,     4772,     4643,     4526,     4420,     4323,     4235,     4156,     4084,     4020,     3963,     3912,     3867,     3828,     3795,     3766,     3741,     3721,     3704,     3691,     3680,     3671,     3665,     3660,     3656,     3653,     3651,     3649,     3648,     3647,     3647,     3646,     3646,     3646,     3646,     3646,     3646,     3646,     3646,     3646,     3646,     3646,     3646,     3646,     3646,     3647,     3647,     3647,     3647,     3647,     3647,     3647,     3647,     3647,     3647,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3648,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649,     3649
i.73.calc,     1126,     1115,     1101,     1084,     1065,     1042,     1017,      988,      956,      921,      883,      843,      799,      753,      704,      653,      601,      548,      494,      440,      387,      336,      287,      242,      201,      164,      132,      105,       83,       64,       50,       38,       29,       22,       17,       13,       10,        7,        6,        4,        3,        3,        2,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
