,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Hooded Vulture [51],     1370,     1455,     1545,     1642,     1745,     1854,     1970,     2094,     2226,     2367,     2517,     2677,     2847,     3029,     3222,     3429,     3649,     3883,     4133,     4399,     4682,     4984,     5305,     5647,     6012,     6400,     6813,     7253,     7721,     8220,     8751,     9316,     9918,    10559,    11241,    11967,    12740,    13563,    14439,    15372,    16365,    17423,    18548,    19747,    21023,    22381,    23827,    25366,    27005,    28750,    30607,    32585,    34690,    36932,    39318,    41858,    44563,    47442,    50507,    53770,    57244,    60943,    64880,    69072,    73535,    78286,    83344,    88729,    94462,   100565,   107063,   113980,   121344,   129184,   137531,   146417,   155877,   165948,   176670,   188085,   200237,   213174,   226947,   241610,   257221,   273840,   291533,   310369,   330422,   351770,   374498,   398694,   424454,   451878,   481074,   512156,   545247,   580475,   617980,   657907,   700415,   745669,   793846,   845137,   899741,   957873,  1019762,  1085649,  1155792,  1230468,  1309969,  1394606,  1484712,  1580639,  1682764,  1791488,  1907236,  2030463,  2161651,  2301316,  2450004,  2608299,  2776821,  2956232,  3147234,  3350577,  3567058,  3797526,  4042885,  4304096,  4582184,  4878239,  5193422,  5528970,  5886197,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Bush Hyrax [48],     1047,     1079,     1094,     1082,     1034,      949,      844,      738,      643,      563,      497,      442,      397,      359,      328,      301,      277,      257,      240,      224,      211,      198,      187,      177,      168,      160,      153,      146,      139,      133,      128,      123,      118,      113,      109,      105,      101,       98,       95,       91,       88,       85,       83,       80,       78,       75,       73,       71,       69,       67,       65,       63,       61,       60,       58,       56,       55,       54,       52,       51,       50,       48,       47,       46,       45,       44,       43,       42,       41,       40,       39,       38,       37,       36,       35,       35,       34,       33,       32,       32,       31,       30,       30,       29,       28,       28,       27,       27,       26,       25,       25,       24,       24,       23,       23,       22,       22,       22,       21,       21,       20,       20,       20,       19,       19,       18,       18,       18,       17,       17,       17,       16,       16,       16,       15,       15,       15,       15,       14,       14,       14,       14,       13,       13,       13,       13,       12,       12,       12,       12,       11,       11,       11,       11,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Leopard [80],     1018,     1065,     1114,     1165,     1219,     1276,     1335,     1397,     1462,     1530,     1601,     1675,     1754,     1836,     1922,     2012,     2106,     2205,     2309,     2418,     2532,     2651,     2776,     2906,     3043,     3187,     3337,     3495,     3659,     3832,     4013,     4202,     4400,     4608,     4825,     5053,     5291,     5541,     5802,     6076,     6363,     6663,     6978,     7307,     7651,     8012,     8391,     8786,     9201,     9635,    10090,    10566,    11064,    11586,    12133,    12706,    13305,    13933,    14590,    15279,    16000,    16754,    17545,    18373,    19240,    20147,    21098,    22094,    23136,    24228,    25371,    26568,    27821,    29134,    30509,    31948,    33456,    35034,    36687,    38418,    40231,    42129,    44117,    46199,    48378,    50661,    53051,    55555,    58176,    60921,    63795,    66805,    69957,    73258,    76715,    80334,    84125,    88094,    92251,    96603,   101161,   105935,   110933,   116167,   121648,   127388,   133399,   139693,   146284,   153186,   160414,   167983,   175909,   184209,   192900,   202002,   211533,   221514,   231965,   242910,   254372,   266374,   278942,   292103,   305886,   320319,   335432,   351259,   367833,   385188,   403363,   422394,   442324,   463195,   485050,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Smith's Red Hock Hare [52],     1404,     1436,     1446,     1422,     1351,     1237,     1098,      959,      836,      733,      647,      577,      519,      470,      429,      395,      365,      339,      316,      297,      279,      263,      249,      236,      225,      214,      204,      195,      187,      179,      172,      166,      159,      153,      148,      143,      138,      133,      129,      125,      121,      117,      114,      110,      107,      104,      101,       98,       96,       93,       90,       88,       86,       84,       81,       79,       77,       75,       74,       72,       70,       69,       67,       65,       64,       62,       61,       60,       58,       57,       56,       55,       53,       52,       51,       50,       49,       48,       47,       46,       45,       44,       43,       43,       42,       41,       40,       39,       39,       38,       37,       36,       36,       35,       34,       34,       33,       33,       32,       31,       31,       30,       30,       29,       29,       28,       28,       27,       27,       26,       26,       25,       25,       24,       24,       24,       23,       23,       22,       22,       22,       21,       21,       21,       20,       20,       20,       19,       19,       19,       18,       18,       18,       17,       17,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Baobab [7],     5766,     3622,     2191,     1246,      669,      350,      185,      101,       58,       35,       22,       14,        9,        6,        4,        3,        2,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Southern Ground Hornbill [57],     1430,     1650,     1919,     2249,     2653,     3150,     3761,     4515,     5446,     6602,     8039,     9832,    12074,    14881,    18401,    22820,    28374,    35357,    44144,    55206,    69136,    86684,   108795,   136663,   171791,   216079,   271920,   342336,   431139,   543137,   684397,   862575,  1087327,  1370837,  1728478,  2179644,  2748804,  3466830,  4372672,  5515471,  6957229,  8776168, 11070983, 13966190, 17618890, 22227291, 28041468, 35376931, 44631753, 56308169, 71039834, 89626217,113075982,142661733,179989081,227083779,286501667,361467374,456049332,575380566,725937276,915890308,1155548595,1457918640,1839410393,2320727845,2927992660,3694161835,4660816319,5880417674,7419155230,9360538279,11809928232,14900256739,18799240065,23718481291,29924954307,37755492854,47635070964,60099866891,75826362253,95668055631,120701783130,152286159774,192135313437,242411912959,305844539196,385875768911,486849008219,614244215299,774975305366,977765378501,1233620134466,1556425167386,1963699556319,2477546650130,3125853647076,3943805071974,4975792289472,6277822685356,7920559265545,9993155636038,12608094493546,15907292218419,20069800874682,25321525615440,31947484870829,40307278696005,50854604768023,64161881191984,80951312430507,102134084347874,128859815538614,162578948733116,205121468348964,258796216299351,326516196066111,411956665464301,519754598013314,655760337961512,827355106633816,1043851591614830,1316999359301630,1661622520270807,2096424254449199,2645001858792243,3337127405524108,4210363514049669,5312101926735140,6702135524910216,8455903371989721,10668584896734200,13460265413689168,16982453320806688,21426302671659904,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Tree Mouse [31],     1857,     2089,     2296,     2452,     2534,     2538,     2491,     2430,     2380,     2353,     2352,     2377,     2426,     2498,     2594,     2712,     2855,     3021,     3213,     3433,     3682,     3962,     4277,     4630,     5024,     5464,     5954,     6500,     7107,     7783,     8534,     9370,    10299,    11332,    12481,    13759,    15180,    16761,    18520,    20478,    22658,    25084,    27787,    30797,    34151,    37889,    42055,    46699,    51878,    57655,    64100,    71290,    79316,    88274,    98276,   109445,   121919,   135854,   151424,   168823,   188268,   210006,   234308,   261484,   291875,   325869,   363898,   406446,   454057,   507340,   566979,   633741,   708485,   792176,   885895,   990856,  1108422,  1240119,  1387662,  1552975,  1738216,  1945809,  2178472,  2439258,  2731593,  3059323,  3426765,  3838766,  4300770,  4818886,  5399977,  6051746,  6782847,  7602996,  8523106,  9555435, 10713748, 12013510, 13472091, 15109002, 16946165, 19008206, 21322791, 23921005, 26837774, 30112342, 33788805, 37916714, 42551752, 47756494, 53601265, 60165098, 67536821, 75816267, 85115652, 95561101,107294390,120474883,135281725,151916301,170605003,191602346,215194466,241703056,271489800,304961352,342574938,384844659,432348585,485736720,545739985,613180296,688981926,774184270,869956210,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
