,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Bush Hyrax [48],     1412,     1509,     1611,     1718,     1829,     1944,     2063,     2184,     2305,     2425,     2539,     2643,     2728,     2788,     2815,     2810,     2782,     2739,     2689,     2637,     2583,     2529,     2475,     2421,     2368,     2316,     2264,     2214,     2164,     2115,     2067,     2021,     1975,     1931,     1888,     1846,     1806,     1766,     1727,     1689,     1652,     1617,     1582,     1548,     1515,     1482,     1451,     1420,     1390,     1361,     1332,     1305,     1278,     1251,     1225,     1200,     1176,     1152,     1129,     1106,     1084,     1062,     1041,     1020,     1000,      980,      961,      942,      923,      906,      888,      871,      854,      838,      822,      806,      791,      776,      761,      747,      733,      719,      706,      693,      680,      667,      655,      643,      631,      620,      608,      597,      586,      576,      565,      555,      545,      536,      526,      517,      508,      499,      490,      481,      473,      464,      456,      448,      440,      433,      425,      418,      411,      404,      397,      390,      383,      376,      370,      364,      357,      351,      345,      340,      334,      328,      323,      317,      312,      306,      301,      296,      291,      286,      282,      277,      272,      268,      263,      259,      255,      250,      246,      242,      238,      234,      230,      226,      223,      219,      215,      212,      208,      205,      202,      198,      195,      192,      189,      186,      183,      180,      177,      174,      171,      168,      165,      163,      160,      157,      155,      152,      150,      147,      145,      143,      140,      138,      136,      134,      131,      129,      127,      125,      123,      121,      119,      117,      115,      114,      112,      110,      108,      106,      105,      103,      101,      100,       98,       96
Lion [86],     1561,     1583,     1604,     1626,     1647,     1669,     1690,     1711,     1732,     1753,     1774,     1795,     1816,     1837,     1857,     1878,     1898,     1918,     1938,     1957,     1977,     1996,     2015,     2034,     2052,     2070,     2088,     2106,     2123,     2141,     2157,     2174,     2190,     2206,     2222,     2237,     2252,     2266,     2281,     2295,     2308,     2321,     2334,     2347,     2359,     2370,     2382,     2393,     2403,     2414,     2423,     2433,     2442,     2451,     2459,     2467,     2474,     2482,     2488,     2495,     2501,     2507,     2512,     2517,     2521,     2526,     2529,     2533,     2536,     2539,     2541,     2543,     2545,     2546,     2547,     2548,     2549,     2549,     2548,     2548,     2547,     2546,     2545,     2543,     2541,     2538,     2536,     2533,     2530,     2527,     2523,     2519,     2515,     2511,     2506,     2501,     2496,     2491,     2486,     2480,     2474,     2468,     2462,     2456,     2449,     2442,     2435,     2428,     2421,     2413,     2406,     2398,     2390,     2382,     2374,     2366,     2358,     2349,     2340,     2332,     2323,     2314,     2305,     2296,     2287,     2277,     2268,     2259,     2249,     2240,     2230,     2220,     2210,     2201,     2191,     2181,     2171,     2161,     2151,     2141,     2130,     2120,     2110,     2100,     2089,     2079,     2069,     2058,     2048,     2038,     2027,     2017,     2007,     1996,     1986,     1975,     1965,     1954,     1944,     1934,     1923,     1913,     1902,     1892,     1882,     1871,     1861,     1851,     1840,     1830,     1820,     1809,     1799,     1789,     1779,     1769,     1759,     1748,     1738,     1728,     1718,     1708,     1698,     1688,     1678,     1669,     1659,     1649,     1639,     1629,     1620,     1610,     1600,     1591,     1581,     1572,     1562,     1553,     1543,     1534
Leopard [80],     1920,     1904,     1888,     1872,     1855,     1838,     1821,     1804,     1786,     1769,     1751,     1733,     1715,     1697,     1678,     1659,     1640,     1621,     1602,     1583,     1563,     1544,     1524,     1504,     1484,     1464,     1444,     1424,     1403,     1383,     1363,     1342,     1322,     1302,     1282,     1262,     1242,     1222,     1202,     1182,     1162,     1143,     1123,     1104,     1085,     1066,     1047,     1028,     1010,      992,      973,      955,      937,      920,      902,      885,      868,      851,      834,      818,      801,      785,      769,      754,      738,      723,      708,      693,      679,      664,      650,      636,      622,      609,      596,      583,      570,      557,      545,      532,      521,      509,      497,      486,      475,      464,      453,      443,      432,      422,      412,      403,      393,      384,      375,      366,      357,      348,      340,      332,      324,      316,      308,      301,      293,      286,      279,      272,      265,      259,      252,      246,      240,      234,      228,      222,      217,      211,      206,      201,      196,      191,      186,      181,      176,      172,      167,      163,      159,      155,      151,      147,      143,      139,      136,      132,      129,      126,      122,      119,      116,      113,      110,      107,      104,      102,       99,       96,       94,       92,       89,       87,       85,       82,       80,       78,       76,       74,       72,       70,       68,       67,       65,       63,       61,       60,       58,       57,       55,       54,       52,       51,       50,       48,       47,       46,       45,       44,       42,       41,       40,       39,       38,       37,       36,       35,       34,       33,       33,       32,       31,       30,       29,       28,       28,       27,       26,       26,       25,       24
Black Backed Jackal [67],     1033,     1087,     1144,     1204,     1267,     1335,     1406,     1481,     1560,     1643,     1731,     1824,     1920,     2021,     2126,     2235,     2346,     2460,     2574,     2689,     2801,     2909,     3010,     3101,     3178,     3237,     3276,     3295,     3296,     3282,     3257,     3225,     3189,     3151,     3112,     3072,     3033,     2993,     2954,     2915,     2877,     2839,     2801,     2764,     2728,     2692,     2656,     2621,     2586,     2552,     2519,     2485,     2453,     2420,     2388,     2357,     2325,     2295,     2264,     2235,     2205,     2176,     2147,     2119,     2091,     2063,     2036,     2009,     1983,     1956,     1931,     1905,     1880,     1855,     1831,     1806,     1783,     1759,     1736,     1713,     1690,     1668,     1646,     1624,     1603,     1581,     1561,     1540,     1520,     1500,     1480,     1460,     1441,     1422,     1403,     1385,     1366,     1348,     1330,     1313,     1296,     1278,     1262,     1245,     1228,     1212,     1196,     1180,     1165,     1149,     1134,     1119,     1104,     1090,     1076,     1061,     1047,     1033,     1020,     1006,      993,      980,      967,      954,      942,      929,      917,      905,      893,      881,      869,      858,      847,      835,      824,      813,      803,      792,      782,      771,      761,      751,      741,      731,      722,      712,      703,      694,      684,      675,      666,      658,      649,      640,      632,      624,      615,      607,      599,      591,      583,      576,      568,      561,      553,      546,      539,      532,      525,      518,      511,      504,      497,      491,      484,      478,      472,      465,      459,      453,      447,      441,      435,      430,      424,      418,      413,      407,      402,      397,      392,      386,      381,      376,      371,      366,      362,      357,      352,      347
Smith's Red Hock Hare [52],     2000,     2052,     2101,     2146,     2186,     2221,     2249,     2269,     2278,     2276,     2258,     2221,     2161,     2074,     1958,     1817,     1659,     1491,     1319,     1147,      978,      815,      660,      516,      389,      280,      192,      126,       80,       49,       30,       18,       11,        6,        4,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Baobab [7],     5462,     4643,     3995,     3458,     2997,     2589,     2218,     1875,     1555,     1253,      970,      711,      483,      299,      167,       85,       41,       20,       10,        5,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Masai Giraffe [92],     1814,     1829,     1845,     1860,     1875,     1889,     1904,     1918,     1931,     1944,     1955,     1966,     1974,     1980,     1983,     1984,     1983,     1980,     1977,     1973,     1970,     1966,     1962,     1959,     1955,     1951,     1948,     1944,     1940,     1937,     1933,     1929,     1926,     1922,     1918,     1915,     1911,     1907,     1904,     1900,     1896,     1893,     1889,     1886,     1882,     1878,     1875,     1871,     1868,     1864,     1861,     1857,     1854,     1850,     1847,     1843,     1840,     1836,     1833,     1829,     1826,     1822,     1819,     1815,     1812,     1808,     1805,     1801,     1798,     1795,     1791,     1788,     1784,     1781,     1778,     1774,     1771,     1767,     1764,     1761,     1757,     1754,     1751,     1747,     1744,     1741,     1737,     1734,     1731,     1727,     1724,     1721,     1718,     1714,     1711,     1708,     1705,     1701,     1698,     1695,     1692,     1688,     1685,     1682,     1679,     1676,     1672,     1669,     1666,     1663,     1660,     1657,     1653,     1650,     1647,     1644,     1641,     1638,     1635,     1632,     1628,     1625,     1622,     1619,     1616,     1613,     1610,     1607,     1604,     1601,     1598,     1595,     1592,     1589,     1586,     1583,     1580,     1577,     1574,     1571,     1568,     1565,     1562,     1559,     1556,     1553,     1550,     1547,     1544,     1541,     1538,     1535,     1532,     1529,     1526,     1523,     1521,     1518,     1515,     1512,     1509,     1506,     1503,     1500,     1498,     1495,     1492,     1489,     1486,     1483,     1481,     1478,     1475,     1472,     1469,     1467,     1464,     1461,     1458,     1455,     1453,     1450,     1447,     1444,     1442,     1439,     1436,     1433,     1431,     1428,     1425,     1423,     1420,     1417,     1414,     1412,     1409,     1406,     1404,     1401
