,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Kirk's Dik-dik [71],     1186,     1271,     1357,     1440,     1515,     1578,     1632,     1680,     1725,     1764,     1799,     1829,     1854,     1874,     1890,     1901,     1908,     1911,     1910,     1906,     1899,     1890,     1878,     1864,     1848,     1831,     1812,     1793,     1773,     1751,     1730,     1708,     1685,     1663,     1640,     1617,     1594,     1571,     1548,     1526,     1503,     1481,     1459,     1437,     1415,     1394,     1373,     1352,     1331,     1311,     1291,     1271,     1251,     1232,     1213,     1194,     1176,     1157,     1140,     1122,     1105,     1087,     1071,     1054,     1038,     1022,     1006,      990,      975,      960,      945,      930,      916,      901,      887,      874,      860,      847,      834,      821,      808,      795,      783,      771,      759,      747,      735,      724,      713,      702,      691,      680,      669,      659,      649,      639,      629,      619,      609,      600,      591,      581,      572,      564,      555,      546,      538,      529,      521,      513,      505,      497,      489,      482,      474,      467,      460,      453,      446,      439,      432,      425,      419,      412,      406,      399,      393,      387,      381,      375,      369,      363,      358,      352,      347,      341,      336,      331,      326,      321,      316,      311,      306,      301,      297,      292,      287,      283,      279,      274,      270,      266,      262,      258,      254,      250,      246,      242,      238,      234,      231,      227,      224,      220,      217,      213,      210,      207,      204,      200,      197,      194,      191,      188,      185,      183,      180,      177,      174,      171,      169,      166,      164,      161,      159,      156,      154,      151,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Cape Teal [33],     1547,     1517,     1334,      957,      483,      156,       35,        5,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Fruits and Nectar [3],     5343,     3868,     2583,     1562,      924,      628,      501,      427,      370,      322,      280,      243,      211,      183,      159,      138,      120,      104,       90,       79,       68,       59,       51,       45,       39,       34,       29,       25,       22,       19,       17,       14,       12,       11,        9,        8,        7,        6,        5,        5,        4,        3,        3,        3,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Black and White Columbus Monkey [66],     1826,     2293,     2846,     3464,     4092,     4681,     5232,     5766,     6281,     6769,     7221,     7626,     7976,     8268,     8497,     8663,     8766,     8810,     8799,     8739,     8634,     8491,     8316,     8114,     7890,     7651,     7400,     7140,     6876,     6610,     6344,     6080,     5821,     5567,     5319,     5078,     4845,     4619,     4402,     4193,     3992,     3800,     3616,     3440,     3271,     3111,     2957,     2811,     2672,     2539,     2413,     2293,     2178,     2070,     1966,     1868,     1774,     1685,     1601,     1520,     1444,     1371,     1303,     1237,     1175,     1116,     1060,     1006,      956,      908,      862,      819,      777,      738,      701,      666,      632,      600,      570,      542,      514,      488,      464,      440,      418,      397,      377,      358,      340,      323,      307,      291,      277,      263,      249,      237,      225,      214,      203,      193,      183,      174,      165,      157,      149,      141,      134,      127,      121,      115,      109,      104,       98,       93,       89,       84,       80,       76,       72,       69,       65,       62,       59,       56,       53,       50,       48,       45,       43,       41,       39,       37,       35,       33,       32,       30,       28,       27,       26,       24,       23,       22,       21,       20,       19,       18,       17,       16,       15,       15,       14,       13,       12,       12,       11,       11,       10,       10,        9,        9,        8,        8,        7,        7,        7,        6,        6,        6,        5,        5,        5,        5,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Striped Weasel [41],     1813,     2101,     2438,     2832,     3289,     3817,     4432,     5152,     5995,     6984,     8145,     9506,    11103,    12977,    15176,    17756,    20782,    24334,    28501,    33390,    39127,    45859,    53757,    63025,    73900,    86659,   101631,   119198,   139811,   163997,   192376,   225675,   264747,   310593,   364387,   427506,   501568,   588470,   690437,   810081,   950468,  1115193,  1308474,  1535264,  1801371,  2113611,  2479983,  2909869,  3414283,  4006143,  4700611,  5515473,  6471604,  7593492,  8909875, 10454471, 12266844, 14393417, 16888659, 19816486, 23251891, 27282871, 32012676, 37562457, 44074367, 51715207, 60680689, 71200460, 83543976, 98027409,115021742,134962274,158359768,185813536,218026788,255824645,300175276,352214691,413275847,484922785,568990694,667632919,783376116,919184970,1078538136,1265517342,1484911936,1742341568,2044400128,2398824649,2814693482,3302658834,3875219618,4547041602,5335333067,6260285580,7345591193,8619049299,10113278690,11866553072,13923781419,16337658285,19170013542,22493396112,26392932260,30968506045,36337317788,42636886081,50028570232,58701703381,68878442145,80819457011,94830609240,111270785305,130561089532,153195630407,179754176846,210917008593,247482341140,290386771492,340729268486,399799322156,469109973175,550436568398,645862235211,757831239467,889211593754,1043368519657,1224250645704,1436491148887,1685526430461,1977735365788,2320602695048,2722910739950,3194964357138,3748854890334,4398769882179,5161356478823,6056147835662,7106063446290,8337996210299,9783501277252,11479604311147,13469749878503,15804914252432,18544911136435,21759923753177,25532302541691,29958674509853,35152418271795,41246568166729,48397221846270,56787538613379,66632430927746,78184069247462,91738341209869,107642430599278,126303710231842,148200176542995,173892693152564,204039357018448,239412355158462,280917743714224,329618655984819,386762533888812,453813080370629,532487751191248,624801746430815,733119628516663,860215888938667,1009346015028612,1184329877132484,1389649572083464,1630564229171887,1913244719291891,2244931717751087,2634121169418462,3090781906778617,3626610995036006,4255333344766516,4993053266497922,5858666972059162,6874346588649827,8066108083332848,9464477644963524,11105273592490998,13030523837700230,15289542402600762,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Yellow-Breasted Apalis [26],     1480,     1788,     1917,     1647,      968,      353,       86,       15,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Rufous Beaked Snake [44],     1718,     1531,     1246,      852,      429,      146,       35,        6,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
