,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Hooded Vulture [51],     1368,     1458,     1519,     1530,     1511,     1485,     1457,     1429,     1401,     1374,     1348,     1322,     1296,     1271,     1246,     1222,     1198,     1175,     1153,     1130,     1108,     1087,     1066,     1045,     1025,     1005,      986,      966,      948,      929,      911,      894,      876,      859,      843,      827,      810,      795,      779,      764,      750,      735,      721,      707,      693,      680,      667,      654,      641,      629,      616,      604,      593,      581,      570,      559,      548,      537,      527,      517,      507,      497,      487,      478,      469,      460,      451,      442,      433,      425,      417,      409,      401,      393,      385,      378,      371,      363,      356,      350,      343,      336,      330,      323,      317,      311,      305,      299,      293,      287,      282,      276,      271,      266,      261,      256,      251,      246,      241,      236,      232,      227,      223,      219,      214,      210,      206,      202,      198,      194,      191,      187,      183,      180,      176,      173,      170,      166,      163,      160,      157,      154,      151,      148,      145,      142,      139,      137,      134,      131,      129,      126,      124,      122,      119,      117,      115,      112,      110,      108,      106,      104,      102,      100,       98,       96,       94,       92,       91,       89,       87,       85,       84,       82,       81,       79,       78,       76,       75,       73,       72,       70,       69,       68,       66,       65,       64,       63,       61,       60,       59,       58,       57,       56,       55,       53,       52,       51,       50,       49,       48,       48,       47,       46,       45,       44,       43,       42,       41,       41,       40,       39,       38,       38,       37,       36,       35,       35,       34,       33
Crops [1],     1028,      365,       72,       10,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Nile Monitor Lizard [64],     1884,     1888,     1891,     1895,     1899,     1902,     1906,     1909,     1913,     1916,     1919,     1922,     1925,     1928,     1931,     1933,     1936,     1938,     1941,     1943,     1945,     1947,     1948,     1950,     1952,     1953,     1955,     1956,     1957,     1958,     1959,     1960,     1960,     1961,     1962,     1962,     1962,     1963,     1963,     1963,     1963,     1963,     1963,     1963,     1962,     1962,     1962,     1961,     1961,     1961,     1960,     1960,     1959,     1958,     1958,     1957,     1956,     1956,     1955,     1954,     1953,     1953,     1952,     1951,     1950,     1949,     1948,     1947,     1947,     1946,     1945,     1944,     1943,     1942,     1941,     1940,     1939,     1938,     1937,     1936,     1935,     1934,     1933,     1932,     1931,     1930,     1929,     1928,     1927,     1926,     1925,     1924,     1923,     1922,     1921,     1920,     1919,     1918,     1917,     1916,     1915,     1914,     1913,     1912,     1911,     1910,     1909,     1908,     1906,     1905,     1904,     1903,     1902,     1901,     1900,     1899,     1898,     1897,     1896,     1895,     1894,     1893,     1892,     1891,     1890,     1889,     1888,     1887,     1886,     1885,     1884,     1883,     1882,     1881,     1880,     1879,     1878,     1877,     1876,     1875,     1874,     1873,     1872,     1871,     1870,     1869,     1867,     1866,     1865,     1864,     1863,     1862,     1861,     1860,     1859,     1858,     1857,     1856,     1855,     1854,     1853,     1852,     1851,     1850,     1849,     1848,     1847,     1846,     1845,     1844,     1843,     1842,     1841,     1840,     1839,     1838,     1837,     1836,     1835,     1834,     1833,     1832,     1831,     1830,     1829,     1828,     1827,     1826,     1825,     1824,     1823,     1822,     1821,     1820,     1819,     1818,     1817,     1816,     1815,     1814
Black and White Columbus Monkey [66],     1130,     1066,     1018,      989,      971,      957,      944,      931,      919,      907,      895,      883,      872,      861,      849,      838,      827,      817,      806,      795,      785,      775,      765,      755,      745,      735,      726,      716,      707,      698,      689,      680,      671,      662,      654,      645,      637,      628,      620,      612,      604,      596,      589,      581,      573,      566,      559,      551,      544,      537,      530,      523,      516,      510,      503,      496,      490,      484,      477,      471,      465,      459,      453,      447,      441,      435,      430,      424,      419,      413,      408,      402,      397,      392,      387,      382,      377,      372,      367,      362,      357,      352,      348,      343,      338,      334,      329,      324,      320,      315,      311,      306,      302,      297,      293,      288,      283,      279,      274,      269,      264,      259,      253,      248,      242,      236,      230,      224,      217,      210,      203,      195,      187,      179,      170,      161,      152,      143,      133,      123,      113,      103,       94,       84,       75,       66,       58,       51,       44,       39,       33,       29,       25,       21,       19,       16,       14,       12,       11,        9,        8,        7,        7,        6,        5,        5,        4,        4,        4,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1
Thrips [8],     1528,      901,      290,       66,       16,        4,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Rove and Ground Beetles [9],     1148,      788,      316,       94,       29,       10,        3,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        2,        2,        2,        2,        3,        3,        3,        4,        4,        5,        6,        7,        8,        9,       10,       11,       12,       14,       16,       18,       20,       22,       25,       28,       31,       34,       38,       42,       46,       50,       54,       58,       63,       67,       71,       75,       78,       81,       83,       85,       86,       87,       86,       86,       84,       83,       80,       78,       75,       72,       69,       66,       63,       60,       57,       55,       52,       49,       46,       44,       41,       39,       37,       35,       33,       31,       29,       27,       26,       24,       23,       22,       20,       19,       18,       17,       16,       15,       14,       13,       12,       12,       11,       10,       10,        9,        9,        8,        8,        7,        7,        6,        6,        6,        5,        5,        5,        4,        4,        4,        4,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2
Ants [11],     1391,     1664,     1738,     1654,     1540,     1428,     1324,     1228,     1138,     1055,      978,      907,      841,      780,      723,      670,      621,      576,      534,      495,      459,      425,      394,      366,      339,      314,      291,      270,      250,      232,      215,      200,      185,      171,      159,      147,      137,      127,      117,      109,      101,       94,       87,       80,       75,       69,       64,       59,       55,       51,       47,       44,       41,       38,       35,       32,       30,       28,       26,       24,       22,       21,       19,       18,       16,       15,       14,       13,       12,       11,       10,       10,        9,        8,        8,        7,        7,        6,        6,        5,        5,        5,        4,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
