,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Topi [87],     1916,     1896,     1864,     1819,     1758,     1679,     1581,     1464,     1328,     1178,     1023,      872,      732,      608,      501,      412,      337,      276,      225,      184,      150,      122,       99,       80,       65,       52,       42,       34,       27,       22,       18,       14,       11,        9,        7,        6,        5,        4,        3,        2,        2,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Leopard [80],     1314,     1347,     1378,     1408,     1434,     1455,     1469,     1473,     1467,     1449,     1418,     1378,     1332,     1281,     1229,     1178,     1128,     1079,     1032,      987,      943,      901,      861,      822,      785,      749,      715,      681,      650,      619,      590,      561,      534,      508,      483,      459,      436,      414,      393,      373,      354,      335,      318,      301,      285,      269,      255,      241,      228,      215,      203,      191,      181,      170,      161,      151,      142,      134,      126,      119,      112,      105,       99,       93,       87,       82,       77,       72,       68,       64,       60,       56,       53,       50,       47,       44,       41,       38,       36,       34,       32,       30,       28,       26,       25,       23,       22,       20,       19,       18,       17,       16,       15,       14,       13,       12,       12,       11,       10,       10,        9,        8,        8,        7,        7,        7,        6,        6,        6,        5,        5,        5,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Grass and Herbs [5],     5508,     4249,     3250,     2452,     1817,     1315,      925,      629,      411,      258,      154,       87,       47,       23,       11,        5,        2,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Elephant [95],     1700,     1721,     1741,     1760,     1779,     1796,     1811,     1824,     1834,     1841,     1845,     1845,     1844,     1841,     1837,     1832,     1827,     1822,     1818,     1813,     1808,     1803,     1798,     1793,     1788,     1783,     1778,     1774,     1769,     1764,     1759,     1755,     1750,     1745,     1740,     1736,     1731,     1726,     1721,     1717,     1712,     1708,     1703,     1698,     1694,     1689,     1685,     1680,     1675,     1671,     1666,     1662,     1657,     1653,     1648,     1644,     1640,     1635,     1631,     1626,     1622,     1618,     1613,     1609,     1605,     1600,     1596,     1592,     1587,     1583,     1579,     1575,     1570,     1566,     1562,     1558,     1554,     1549,     1545,     1541,     1537,     1533,     1529,     1525,     1520,     1516,     1512,     1508,     1504,     1500,     1496,     1492,     1488,     1484,     1480,     1476,     1472,     1468,     1464,     1460,     1456,     1452,     1448,     1444,     1440,     1436,     1432,     1429,     1425,     1421,     1417,     1413,     1409,     1406,     1402,     1398,     1394,     1390,     1387,     1383,     1379,     1375,     1372,     1368,     1364,     1360,     1357,     1353,     1349,     1346,     1342,     1338,     1335,     1331,     1328,     1324,     1320,     1317,     1313,     1310,     1306,     1303,     1299,     1296,     1292,     1289,     1285,     1282,     1278,     1275,     1271,     1268,     1264,     1261,     1257,     1254,     1251,     1247,     1244,     1240,     1237,     1234,     1230,     1227,     1224,     1220,     1217,     1214,     1211,     1207,     1204,     1201,     1197,     1194,     1191,     1188,     1185,     1181,     1178,     1175,     1172,     1169,     1165,     1162,     1159,     1156,     1153,     1150,     1147,     1143,     1140,     1137,     1134,     1131,     1128,     1125,     1122,     1119,     1116,     1113
Hippopotamus [94],     1483,     1508,     1532,     1556,     1578,     1599,     1618,     1634,     1646,     1655,     1659,     1660,     1658,     1654,     1649,     1644,     1638,     1632,     1626,     1620,     1614,     1608,     1602,     1596,     1590,     1584,     1578,     1572,     1566,     1560,     1554,     1549,     1543,     1537,     1531,     1526,     1520,     1514,     1509,     1503,     1498,     1492,     1486,     1481,     1475,     1470,     1464,     1459,     1454,     1448,     1443,     1437,     1432,     1427,     1422,     1416,     1411,     1406,     1401,     1395,     1390,     1385,     1380,     1375,     1370,     1365,     1360,     1355,     1350,     1345,     1340,     1335,     1330,     1325,     1320,     1315,     1310,     1306,     1301,     1296,     1291,     1286,     1282,     1277,     1272,     1267,     1263,     1258,     1253,     1249,     1244,     1240,     1235,     1230,     1226,     1221,     1217,     1212,     1208,     1203,     1199,     1194,     1190,     1185,     1181,     1177,     1172,     1168,     1163,     1159,     1155,     1151,     1146,     1142,     1138,     1133,     1129,     1125,     1121,     1117,     1113,     1108,     1104,     1100,     1096,     1092,     1088,     1084,     1080,     1076,     1072,     1068,     1064,     1060,     1056,     1052,     1048,     1044,     1040,     1036,     1033,     1029,     1025,     1021,     1017,     1013,     1010,     1006,     1002,      998,      995,      991,      987,      984,      980,      976,      973,      969,      966,      962,      958,      955,      951,      948,      944,      941,      937,      934,      930,      927,      923,      920,      916,      913,      910,      906,      903,      899,      896,      893,      889,      886,      883,      880,      876,      873,      870,      867,      863,      860,      857,      854,      851,      847,      844,      841,      838,      835,      832,      829
Nile Crocodile [91],     1293,     1401,     1515,     1634,     1758,     1884,     2009,     2129,     2238,     2334,     2414,     2479,     2531,     2575,     2613,     2650,     2685,     2721,     2758,     2796,     2835,     2875,     2916,     2959,     3003,     3048,     3095,     3143,     3192,     3243,     3295,     3349,     3405,     3462,     3521,     3582,     3645,     3709,     3776,     3844,     3915,     3987,     4062,     4139,     4219,     4301,     4385,     4473,     4562,     4655,     4751,     4849,     4951,     5055,     5164,     5275,     5390,     5509,     5632,     5758,     5889,     6023,     6163,     6306,     6455,     6608,     6766,     6929,     7098,     7272,     7452,     7638,     7830,     8029,     8234,     8446,     8665,     8891,     9126,     9368,     9618,     9877,    10145,    10421,    10708,    11004,    11311,    11629,    11957,    12297,    12649,    13014,    13392,    13783,    14188,    14607,    15042,    15492,    15959,    16443,    16945,    17465,    18004,    18563,    19143,    19744,    20368,    21016,    21687,    22384,    23108,    23859,    24638,    25447,    26288,    27160,    28067,    29008,    29987,    31003,    32059,    33157,    34297,    35483,    36716,    37998,    39330,    40717,    42158,    43658,    45219,    46842,    48531,    50290,    52120,    54025,    56008,    58073,    60223,    62463,    64796,    67225,    69757,    72395,    75143,    78008,    80993,    84106,    87350,    90733,    94261,    97940,   101777,   105780,   109956,   114312,   118858,   123602,   128554,   133722,   139118,   144751,   150632,   156774,   163189,   169889,   176888,   184199,   191839,   199822,   208164,   216883,   225997,   235524,   245485,   255900,   266791,   278181,   290093,   302555,   315591,   329229,   343500,   358434,   374063,   390421,   407545,   425471,   444239,   463890,   484469,   506020,   528593,   552238,   577008,   602959,   630151,   658644,   688505,   719802
African Wild Dog [74],     1862,     2054,     2267,     2504,     2768,     3062,     3387,     3749,     4149,     4590,     5076,     5608,     6189,     6821,     7508,     8251,     9054,     9918,    10847,    11842,    12906,    14040,    15246,    16524,    17876,    19301,    20799,    22368,    24007,    25712,    27481,    29309,    31192,    33124,    35099,    37109,    39147,    41205,    43273,    45343,    47404,    49447,    51462,    53438,    55366,    57235,    59037,    60762,    62402,    63949,    65397,    66738,    67969,    69084,    70080,    70955,    71707,    72336,    72842,    73227,    73492,    73640,    73674,    73599,    73419,    73138,    72762,    72297,    71747,    71119,    70419,    69652,    68824,    67941,    67008,    66031,    65015,    63964,    62884,    61779,    60654,    59512,    58357,    57192,    56021,    54847,    53672,    52499,    51331,    50169,    49015,    47870,    46738,    45618,    44512,    43421,    42346,    41287,    40246,    39223,    38218,    37232,    36265,    35317,    34388,    33480,    32590,    31720,    30870,    30039,    29227,    28434,    27660,    26905,    26168,    25449,    24748,    24065,    23399,    22750,    22118,    21502,    20903,    20319,    19750,    19197,    18658,    18134,    17624,    17127,    16644,    16175,    15718,    15273,    14841,    14420,    14012,    13614,    13228,    12852,    12487,    12131,    11786,    11451,    11125,    10808,    10499,    10200,     9909,     9626,     9351,     9084,     8825,     8573,     8328,     8089,     7858,     7633,     7415,     7203,     6997,     6796,     6602,     6413,     6229,     6051,     5877,     5709,     5545,     5386,     5232,     5082,     4936,     4795,     4657,     4524,     4394,     4268,     4146,     4027,     3911,     3799,     3690,     3584,     3481,     3381,     3284,     3190,     3098,     3010,     2923,     2839,     2758,     2679,     2602,     2527,     2454,     2384,     2316,     2249
