,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Topi [87],     1490,     1538,     1586,     1634,     1681,     1722,     1739,     1731,     1719,     1706,     1694,     1682,     1670,     1658,     1646,     1634,     1622,     1611,     1599,     1588,     1576,     1565,     1554,     1543,     1532,     1521,     1510,     1499,     1488,     1478,     1467,     1456,     1446,     1436,     1425,     1415,     1405,     1395,     1385,     1375,     1365,     1355,     1346,     1336,     1326,     1317,     1307,     1298,     1289,     1280,     1270,     1261,     1252,     1243,     1234,     1226,     1217,     1208,     1199,     1191,     1182,     1174,     1165,     1157,     1149,     1140,     1132,     1124,     1116,     1108,     1100,     1092,     1084,     1077,     1069,     1061,     1054,     1046,     1039,     1031,     1024,     1016,     1009,     1002,      995,      988,      981,      974,      967,      960,      953,      946,      939,      932,      926,      919,      912,      906,      899,      893,      887,      880,      874,      868,      861,      855,      849,      843,      837,      831,      825,      819,      813,      807,      802,      796,      790,      785,      779,      773,      768,      762,      757,      751,      746,      741,      735,      730,      725,      720,      715,      709,      704,      699,      694,      689,      684,      679,      675,      670,      665,      660,      655,      651,      646,      641,      637,      632,      628,      623,      619,      614,      610,      606,      601,      597,      593,      589,      584,      580,      576,      572,      568,      564,      560,      556,      552,      548,      544,      540,      536,      533,      529,      525,      521,      518,      514,      510,      507,      503,      500,      496,      493,      489,      486,      483,      479,      476,      473,      469,      466,      463,      460,      457,      454,      451,      448,      445,      442,      439
Grass and Herbs [5],     4550,     4095,     3510,     2763,     1836,      796,       98,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        2,        2,        2,        2,        2,        2,        3,        3,        3,        3,        4,        4,        4,        5,        5,        5,        6,        7,        7,        8,        9,        9,       10
Black Backed Jackal [67],     1422,     1495,     1575,     1664,     1761,     1867,     1981,     2101,     2228,     2360,     2498,     2641,     2790,     2943,     3099,     3257,     3414,     3568,     3715,     3848,     3961,     4045,     4097,     4115,     4104,     4075,     4034,     3987,     3938,     3887,     3837,     3787,     3737,     3688,     3639,     3591,     3543,     3497,     3451,     3405,     3360,     3316,     3272,     3229,     3186,     3144,     3102,     3061,     3021,     2981,     2942,     2903,     2864,     2827,     2789,     2752,     2716,     2680,     2645,     2610,     2575,     2541,     2508,     2475,     2442,     2410,     2378,     2347,     2316,     2285,     2255,     2225,     2196,     2167,     2138,     2110,     2082,     2054,     2027,     2001,     1974,     1948,     1922,     1897,     1872,     1847,     1823,     1799,     1775,     1751,     1728,     1706,     1683,     1661,     1639,     1617,     1596,     1575,     1554,     1533,     1513,     1493,     1473,     1454,     1435,     1416,     1397,     1379,     1360,     1343,     1325,     1307,     1290,     1273,     1256,     1240,     1223,     1207,     1191,     1175,     1160,     1145,     1129,     1114,     1100,     1085,     1071,     1057,     1043,     1029,     1015,     1002,      989,      976,      963,      950,      938,      925,      913,      901,      889,      877,      866,      854,      843,      832,      821,      810,      799,      789,      778,      768,      758,      748,      738,      728,      719,      709,      700,      691,      681,      672,      664,      655,      646,      638,      629,      621,      613,      605,      597,      589,      581,      573,      566,      558,      551,      544,      536,      529,      522,      515,      509,      502,      495,      489,      482,      476,      470,      463,      457,      451,      445,      439,      434,      428,      422,      417,      411,      406
Smith's Red Hock Hare [52],     1713,     2123,     2634,     3259,     3990,     4722,     4999,     4656,     4236,     3832,     3443,     3070,     2712,     2369,     2040,     1727,     1430,     1152,      896,      666,      467,      306,      186,      105,       56,       29,       15,        7,        4,        2,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
