,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Lion [86],     1590,     1723,     1864,     2012,     2168,     2332,     2505,     2687,     2879,     3082,     3296,     3524,     3766,     4024,     4299,     4593,     4906,     5241,     5600,     5983,     6395,     6836,     7309,     7817,     8362,     8948,     9578,    10255,    10983,    11767,    12611,    13520,    14500,    15555,    16693,    17921,    19245,    20674,    22216,    23881,    25680,    27622,    29722,    31991,    34443,    37096,    39964,    43067,    46424,    50058,    53990,    58247,    62857,    67849,    73256,    79114,    85461,    92339,    99794,   107875,   116635,   126134,   136436,   147608,   159727,   172875,   187139,   202618,   219416,   237648,   257438,   278923,   302248,   327574,   355077,   384945,   417386,   452623,   490901,   532487,   577669,   626763,   680112,   738089,   801100,   869587,   944031,  1024956,  1112933,  1208582,  1312578,  1425658,  1548621,  1682341,  1827766,  1985929,  2157956,  2345073,  2548612,  2770028,  3010902,  3272955,  3558065,  3868274,  4205807,  4573085,  4972748,  5407668,  5880976,  6396079,  6956690,  7566852,  8230969,  8953837,  9740681, 10597191, 11529567, 12544561, 13649527, 14852479, 16162143, 17588026, 19140487, 20830808, 22671279, 24675291, 26857431, 29233592, 31821085, 34638774, 37707208, 41048774, 44687866, 48651058, 52967304, 57668149, 62787966, 68364202, 74437659, 81052795, 88258048, 96106198,104654752,113966370,124109329,135158023,147193517,160304139,174586138,190144393,207093184,225557041,245671661,267584910,291457920,317466271,345801299,376671502,410304085,446946639,486868971,530365101,577755435,629389132,685646693,746942770,813729236,886498528,965787292,1052180351,1146315038,1248885909,1360649885,1482431857,1615130792,1759726388,1917286326,2088974182,2276058039,2479919877,2702065814,2944137257,3207923061,3495372782,3808611120,4149953656,4521924016,4927272561,5368996774,5850363469,6374933000,6946585649,7569550383,8248436199,8988266284,9794515256,10673149738,11630672595,12674171140,13811369681
Kirk's Dik-dik [71],     1547,     1415,     1265,     1105,      944,      791,      651,      529,      425,      339,      269,      213,      169,      134,      106,       85,       68,       55,       44,       36,       29,       24,       20,       16,       14,       11,       10,        8,        7,        6,        5,        4,        4,        3,        3,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Leopard [80],     1971,     1978,     1980,     1979,     1975,     1967,     1955,     1941,     1926,     1908,     1890,     1871,     1851,     1832,     1812,     1793,     1773,     1755,     1736,     1719,     1701,     1685,     1669,     1653,     1638,     1624,     1611,     1598,     1585,     1574,     1563,     1552,     1542,     1533,     1524,     1516,     1509,     1502,     1495,     1489,     1484,     1479,     1474,     1470,     1467,     1464,     1461,     1459,     1457,     1456,     1455,     1454,     1454,     1454,     1455,     1456,     1457,     1459,     1461,     1463,     1466,     1469,     1472,     1476,     1480,     1484,     1489,     1493,     1498,     1504,     1509,     1515,     1521,     1528,     1535,     1541,     1549,     1556,     1564,     1572,     1580,     1588,     1597,     1606,     1615,     1624,     1634,     1644,     1654,     1664,     1674,     1685,     1696,     1707,     1719,     1730,     1742,     1754,     1766,     1779,     1792,     1805,     1818,     1831,     1845,     1859,     1873,     1887,     1901,     1916,     1931,     1946,     1961,     1977,     1993,     2009,     2025,     2042,     2058,     2075,     2093,     2110,     2128,     2146,     2164,     2182,     2201,     2219,     2238,     2258,     2277,     2297,     2317,     2337,     2358,     2379,     2400,     2421,     2443,     2464,     2486,     2509,     2531,     2554,     2577,     2600,     2624,     2648,     2672,     2697,     2721,     2746,     2772,     2797,     2823,     2849,     2876,     2902,     2929,     2957,     2984,     3012,     3040,     3069,     3098,     3127,     3156,     3186,     3216,     3247,     3278,     3309,     3340,     3372,     3404,     3436,     3469,     3502,     3536,     3570,     3604,     3638,     3673,     3708,     3744,     3780,     3816,     3853,     3890,     3928,     3966,     4004,     4043,     4082,     4122,     4162,     4202,     4243,     4284,     4325
Grass and Herbs [5],     4702,     4239,     3823,     3448,     3111,     2808,     2536,     2293,     2076,     1884,     1712,     1560,     1425,     1305,     1198,     1101,     1015,      937,      866,      802,      744,      691,      643,      598,      557,      520,      485,      453,      424,      396,      371,      347,      325,      305,      286,      268,      251,      236,      221,      208,      195,      183,      172,      162,      152,      143,      134,      126,      119,      112,      105,       99,       93,       88,       82,       77,       73,       69,       65,       61,       57,       54,       51,       48,       45,       42,       40,       38,       35,       33,       31,       29,       28,       26,       25,       23,       22,       21,       19,       18,       17,       16,       15,       14,       14,       13,       12,       11,       11,       10,        9,        9,        8,        8,        7,        7,        7,        6,        6,        6,        5,        5,        5,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Elephant [95],     1377,     1394,     1410,     1426,     1443,     1459,     1475,     1491,     1507,     1523,     1538,     1553,     1568,     1582,     1597,     1610,     1624,     1637,     1650,     1662,     1674,     1686,     1697,     1708,     1718,     1728,     1737,     1746,     1755,     1763,     1771,     1778,     1785,     1791,     1797,     1803,     1808,     1812,     1817,     1821,     1824,     1828,     1830,     1833,     1835,     1837,     1838,     1840,     1840,     1841,     1841,     1841,     1841,     1841,     1840,     1839,     1838,     1837,     1836,     1834,     1832,     1830,     1828,     1826,     1823,     1821,     1818,     1815,     1812,     1809,     1806,     1803,     1800,     1796,     1793,     1789,     1786,     1782,     1778,     1774,     1771,     1767,     1763,     1759,     1755,     1751,     1747,     1743,     1739,     1734,     1730,     1726,     1722,     1718,     1713,     1709,     1705,     1701,     1696,     1692,     1688,     1683,     1679,     1675,     1671,     1666,     1662,     1658,     1653,     1649,     1645,     1640,     1636,     1632,     1627,     1623,     1619,     1615,     1610,     1606,     1602,     1597,     1593,     1589,     1585,     1580,     1576,     1572,     1568,     1564,     1559,     1555,     1551,     1547,     1543,     1539,     1534,     1530,     1526,     1522,     1518,     1514,     1510,     1506,     1502,     1498,     1494,     1490,     1485,     1481,     1477,     1473,     1470,     1466,     1462,     1458,     1454,     1450,     1446,     1442,     1438,     1434,     1430,     1426,     1422,     1419,     1415,     1411,     1407,     1403,     1400,     1396,     1392,     1388,     1384,     1381,     1377,     1373,     1369,     1366,     1362,     1358,     1355,     1351,     1347,     1344,     1340,     1336,     1333,     1329,     1326,     1322,     1318,     1315,     1311,     1308,     1304,     1301,     1297,     1294
Oribi [73],     1437,     1588,     1711,     1796,     1840,     1841,     1805,     1739,     1651,     1550,     1442,     1334,     1228,     1126,     1031,      943,      862,      788,      720,      658,      601,      550,      503,      460,      421,      385,      352,      322,      295,      270,      247,      225,      206,      188,      172,      157,      143,      130,      118,      107,       98,       89,       80,       73,       66,       59,       53,       48,       43,       39,       35,       31,       28,       25,       22,       20,       18,       16,       14,       12,       11,       10,        9,        8,        7,        6,        5,        5,        4,        4,        3,        3,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Wild Dog [74],     1909,     2066,     2237,     2421,     2621,     2838,     3073,     3328,     3605,     3906,     4234,     4591,     4979,     5402,     5862,     6364,     6911,     7507,     8157,     8864,     9636,    10476,    11392,    12391,    13479,    14665,    15958,    17367,    18903,    20577,    22402,    24391,    26558,    28921,    31496,    34303,    37362,    40697,    44331,    48293,    52611,    57317,    62447,    68038,    74133,    80775,    88015,    95907,   104508,   113884,   124103,   135241,   147381,   160614,   175037,   190757,   207892,   226569,   246925,   269113,   293298,   319658,   348390,   379706,   413840,   451045,   491598,   535798,   583975,   636487,   693723,   756108,   824106,   898221,   979005,  1067056,  1163029,  1267636,  1381655,  1505931,  1641388,  1789032,  1949959,  2125364,  2316550,  2524936,  2752070,  2999638,  3269480,  3563598,  3884178,  4233599,  4614456,  5029578,  5482047,  5975224,  6512770,  7098678,  7737298,  8433373,  9192071, 10019028, 10920383, 11902831, 12973666, 14140842, 15413024, 16799662, 18311050, 19958415, 21753987, 23711102, 25844293, 28169400, 30703691, 33465984, 36476793, 39758475, 43335400, 47234131, 51483619, 56115421, 61163932, 66666643, 72664417, 79201792, 86327316, 94093903,102559226,111786149,121843191,132805035,144753084,157776064,171970683,187442350,204305956,222686732,242721171,264558050,288359528,314302354,342579180,373399989,406993654,443609642,483519862,527020686,574435151,626115356,682445075,743842612,810763904,883705907,963210286,1049867439,1144320879,1247272016,1359485362,1481794211,1615106826,1760413182,1918792320,2091420362,2279579237,2484666210,2708204251,2951853348,3217422834,3506884820,3822388845,4166277834,4541105498,4949655298,5394961114,5880329778,6409365624,6985997260,7614506738,8299561355,9046248308,9860112478,10747197599,11714091145,12767973242,13916669993,15168711593,16533395671,18020856338,19642139441,21409284588,23335414555,25434832738,27723129363,30217297265,32935858075,35898999758,39128726531,42649022267,46486028596
