,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Lion [86],     1161,     1188,     1217,     1247,     1279,     1313,     1348,     1386,     1425,     1466,     1509,     1554,     1600,     1648,     1698,     1750,     1805,     1861,     1919,     1980,     2043,     2109,     2177,     2248,     2322,     2399,     2478,     2560,     2645,     2733,     2825,     2919,     3017,     3118,     3223,     3331,     3443,     3559,     3678,     3802,     3930,     4062,     4199,     4340,     4486,     4637,     4793,     4955,     5122,     5294,     5472,     5656,     5847,     6044,     6247,     6457,     6675,     6900,     7132,     7372,     7620,     7877,     8142,     8416,     8699,     8992,     9295,     9608,     9931,    10266,    10611,    10968,    11338,    11719,    12114,    12522,    12943,    13379,    13829,    14295,    14776,    15273,    15788,    16319,    16869,    17436,    18023,    18630,    19257,    19906,    20576,    21268,    21984,    22725,    23490,    24280,    25098,    25943,    26816,    27719,    28652,    29617,    30614,    31644,    32709,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Leopard [80],     1112,     1451,     1892,     2461,     3187,     4097,     5208,     6517,     7990,     9567,    11195,    12864,    14638,    16628,    18976,    21834,    25375,    29806,    35383,    42433,    51379,    62775,    77345,    96042,   120126,   151260,   191651,   244231,   312908,   402893,   521158,   677040,   883074,  1156106,  1518823,  2001815,  2646396,  3508429,  4663558,  6214327,  8299914, 11109416, 14900029, 20021897, 26952154, 36341535, 49078268, 66375685, 89892424,121897414,165496454,224943476,306068348,416865061,568300712,775428550,1058919861,1447172932,1979217318,2708714401,3709469471,5083028247,6969148467,9560237776,13121264250,18017219212,24751003858,34015705117,46766737385,64321414798,88496403842,121797493035,167681626430,230918762957,318091649583,438286146146,604044853181,832684600268,1148116795581,1583362789621,2184029899042,3013115359311,4157646000888,5737855773970,7919871993496,10933252850076,15095232773414,20844243199993,28786259659230,39758886260759,54919970081346,75870140441781,104822268090553,144835819355632,200140969566289,276586870632307,382261652583812,528349979690422,730319217734539,1009560183325319,1395656751463505,1929525431022642,2667758487601453,3688632135018364,5100418340458648,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Grass and Herbs [5],     5259,     4410,     3612,     2880,     2228,     1667,     1201,      831,      550,      348,      211,      124,       71,       40,       23,       13,        8,        4,        3,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Smith's Red Hock Hare [52],     1299,     1377,     1457,     1536,     1612,     1682,     1740,     1782,     1801,     1791,     1752,     1688,     1605,     1514,     1420,     1327,     1239,     1155,     1077,     1004,      936,      872,      814,      759,      708,      661,      617,      576,      537,      502,      469,      438,      409,      383,      358,      335,      313,      293,      274,      256,      240,      225,      210,      197,      184,      173,      162,      152,      142,      133,      125,      117,      110,      103,       97,       91,       85,       80,       75,       71,       66,       62,       59,       55,       52,       49,       46,       43,       41,       38,       36,       34,       32,       30,       28,       27,       25,       24,       22,       21,       20,       19,       18,       17,       16,       15,       14,       13,       12,       12,       11,       10,       10,        9,        9,        8,        8,        7,        7,        7,        6,        6,        6,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Southern Eland [89],     1637,     1692,     1747,     1799,     1848,     1889,     1919,     1934,     1927,     1897,     1840,     1763,     1672,     1574,     1475,     1379,     1288,     1203,     1123,     1049,      979,      915,      856,      800,      749,      701,      656,      614,      576,      539,      506,      474,      444,      417,      391,      367,      345,      324,      304,      285,      268,      252,      237,      223,      209,      197,      185,      174,      164,      154,      145,      137,      129,      121,      114,      107,      101,       95,       90,       85,       80,       75,       71,       67,       63,       60,       56,       53,       50,       47,       45,       42,       40,       38,       36,       34,       32,       30,       29,       27,       26,       24,       23,       22,       21,       19,       18,       17,       17,       16,       15,       14,       13,       13,       12,       11,       11,       10,       10,        9,        9,        8,        8,        7,        7,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Buffalo [88],     1249,     1258,     1268,     1278,     1288,     1297,     1306,     1314,     1320,     1323,     1323,     1321,     1316,     1310,     1303,     1296,     1288,     1281,     1274,     1267,     1260,     1254,     1248,     1242,     1236,     1231,     1226,     1221,     1216,     1211,     1206,     1201,     1197,     1192,     1188,     1183,     1179,     1174,     1170,     1166,     1161,     1157,     1153,     1148,     1144,     1140,     1136,     1131,     1127,     1123,     1119,     1115,     1111,     1107,     1102,     1098,     1094,     1090,     1086,     1082,     1078,     1074,     1070,     1066,     1062,     1058,     1054,     1051,     1047,     1043,     1039,     1035,     1031,     1027,     1024,     1020,     1016,     1012,     1009,     1005,     1001,      997,      994,      990,      986,      983,      979,      976,      972,      968,      965,      961,      958,      954,      951,      947,      943,      940,      937,      933,      930,      926,      923,      919,      916,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Nile Crocodile [91],     1781,     1758,     1728,     1688,     1636,     1568,     1482,     1375,     1246,     1101,      949,      803,      672,      560,      469,      396,      337,      290,      252,      220,      195,      174,      156,      141,      129,      118,      109,      101,       94,       89,       83,       79,       75,       71,       68,       65,       63,       61,       59,       57,       55,       54,       52,       51,       50,       49,       48,       47,       47,       46,       45,       45,       44,       44,       44,       43,       43,       43,       43,       42,       42,       42,       42,       42,       42,       42,       42,       42,       41,       41,       41,       42,       42,       42,       42,       42,       42,       42,       42,       42,       42,       42,       42,       43,       43,       43,       43,       43,       43,       44,       44,       44,       44,       44,       45,       45,       45,       45,       45,       46,       46,       46,       46,       46,       47,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
