,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
African Marsh Owl [49],     1655,     1902,     2187,     2516,     2896,     3335,     3844,     4433,     5118,     5913,     6837,     7911,     9161,    10615,    12306,    14274,    16563,    19227,    22326,    25933,    30130,    35013,    40696,    47309,    55005,    63960,    74381,    86508,   100620,   117041,   136151,   158389,   184267,   214381,   249425,   290205,   337660,   392883,   457146,   531929,   618952,   720221,   838066,   975202,  1134786,  1320493,  1536599,  1788079,  2080725,  2421274,  2817569,  3278735,  3815389,  4439890,  5166617,  6012304,  6996423,  8141635,  9474309, 11025131, 12829812, 14929905, 17373767, 20217670, 23527099, 27378256, 31859818, 37074977, 43143818, 50206082, 58424384, 67987959, 79117019, 92067820,107138568,124676283,145084787,168834007,196470792,228631508,266056687,309608081,360288505,419264926,487895336,567760019,660697940,768849086,894703747,1041159853,1211589703,1409917614,1640710286,1909281952,2221816744,2585511089,3008739415,3501246978,4074374260,4741318090,5517435520,6420597433,7471600038,8694643725,10117890302,11774111449,13701443320,15944264666,18554218700,21591402231,25125749458,29238642273,34024784161,39594380840,46075677864,53617913600,62394755596,72608299444,84493722243,98324697778,114419698140,133149326865,154944852448,180308138738,209823200853,244169652717,284138355850,330649629750,384774443173,447759074262,521053807351,606346327221,705600579733,821101993651,955510104935,1111919795226,1293932554599,1505739409486,1752217425267,2039042005596,2372817574260,2761229648669,3213221806605,3739201621076,4351280305126,5063551584671,5892416220683,6856959653165,7979391462562,9285556767638,10805531335268,12574314105156,14632633075538,17027883106216,19815217232762,23058816620507,26833368400283,31225785414553,36337207472829,42285330197276,49207115082522,57261943171509,66635284963945,77542971060681,90236161879874,105007130877659,122195994437767,142198543392567,165475356504149,192562405752518,224083397628268,260764134600420,303449227446600,353121543263767,410924836969407,478190087406268,556466144465835,647555392911342,753555254095627,876906481192527,1020449359987986,1187489109310478,1381871987011284,1608073853911262,1871303234987628,2177621250888412,2534081181317573,2948890873878110,3431601737999653,3993328675725358,4647006013485160,5407685327941271,6292882023645095,7322978642803459,8521694193766754,9916630304998064,11539906780266400,        0,        0,        0
Cape Teal [33],     1577,     1574,     1477,     1310,     1115,      933,      784,      673,      594,      540,      504,      479,      459,      439,      418,      393,      367,      340,      314,      289,      265,      243,      224,      206,      190,      176,      163,      151,      140,      131,      122,      114,      107,      101,       95,       89,       84,       79,       75,       71,       68,       64,       61,       58,       55,       53,       50,       48,       46,       44,       42,       40,       38,       37,       35,       34,       33,       31,       30,       29,       28,       27,       26,       25,       24,       23,       22,       21,       20,       20,       19,       18,       18,       17,       16,       16,       15,       15,       14,       14,       13,       13,       13,       12,       12,       11,       11,       11,       10,       10,       10,        9,        9,        9,        8,        8,        8,        8,        7,        7,        7,        7,        7,        6,        6,        6,        6,        6,        5,        5,        5,        5,        5,        5,        4,        4,        4,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Fruits and Nectar [3],     7262,     5430,     4195,     3301,     2626,     2105,     1697,     1374,     1115,      905,      734,      594,      479,      384,      308,      246,      196,      157,      126,      101,       81,       66,       54,       44,       36,       30,       25,       21,       17,       14,       12,       10,        9,        7,        6,        5,        4,        4,        3,        3,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Greater Bushbaby [55],     1134,     1515,     1875,     2134,     2247,     2213,     2058,     1815,     1510,     1168,      821,      507,      267,      117,       42,       12,        3,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        2,        2,        3,        5,        7,       10,       14,       21,       30,       44,       65,       96,      142,      212,      317,      475,      713,     1075,     1624,     2461,     3738,     5693,     8690,    13295,    20388,    31332,    48250,    74456,   115117,   178320,   276726,   430194,   669908,  1044907,  1632403,  2554121,  4002180,  6280169,  9868342, 15527261, 24462651, 38587895, 60942335, 96358422,152526594,241696320,383395372,608779916,967598266,1539345929,2451145707,3906423978,6230927135,9946600395,15890251888,25404222128,40642839472,65065058919,104226416173,167051928936,267881108274,429750752114,689657781105,1106979463703,1776905364501,2851772090974,4574742506432,7332508000087,11736737842536,18747744527151,29857541278690,47351032821668,74658925865241,116796045765795,180833635453433,276278051329915,415137540824245,611416085916586,879885918404256,1234329537509079,1685889751973444,2242370502416135,2908988597914723,3690342059478215,4592797745294864,5626503804219061,        0,        0,        0
Leopard [80],     1928,     1899,     1822,     1689,     1499,     1258,      984,      708,      459,      263,      130,       55,       19,        5,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Southern Eland [89],     1732,     1967,     2222,     2496,     2785,     3087,     3400,     3726,     4069,     4432,     4814,     5203,     5582,     5932,     6236,     6485,     6675,     6806,     6881,     6905,     6887,     6831,     6746,     6638,     6511,     6370,     6219,     6060,     5898,     5733,     5567,     5401,     5236,     5074,     4914,     4757,     4604,     4454,     4308,     4166,     4028,     3894,     3764,     3638,     3515,     3397,     3282,     3171,     3064,     2960,     2860,     2763,     2669,     2578,     2490,     2406,     2324,     2244,     2168,     2094,     2023,     1954,     1887,     1823,     1760,     1700,     1642,     1586,     1532,     1480,     1429,     1380,     1333,     1288,     1244,     1201,     1160,     1121,     1082,     1045,     1010,      975,      942,      910,      879,      849,      820,      792,      765,      739,      713,      689,      665,      643,      621,      600,      579,      559,      540,      522,      504,      487,      470,      454,      439,      424,      409,      395,      382,      369,      356,      344,      332,      321,      310,      299,      289,      279,      270,      260,      252,      243,      235,      227,      219,      211,      204,      197,      190,      184,      178,      172,      166,      160,      155,      149,      144,      139,      135,      130,      126,      121,      117,      113,      109,      106,      102,       98,       95,       92,       89,       86,       83,       80,       77,       75,       72,       70,       67,       65,       63,       61,       58,       56,       55,       53,       51,       49,       47,       46,       44,       43,       41,       40,       39,       37,       36,       35,       34,       32,       31,       30,       29,       28,       27,       26,       25,       25,       24,       23,       22,       21,       21,       20,       19,       19,       18,        0,        0,        0
Nile Crocodile [91],     1606,     1518,     1398,     1245,     1062,      857,      646,      448,      281,      156,       75,       31,       10,        3,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
