,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Ostrich [85],     1010,     1181,     1374,     1587,     1805,     1984,     2055,     2039,     1994,     1940,     1883,     1825,     1767,     1710,     1653,     1599,     1546,     1494,     1444,     1395,     1349,     1303,     1259,     1217,     1176,     1137,     1098,     1061,     1026,      991,      958,      925,      894,      864,      835,      807,      780,      754,      728,      704,      680,      657,      635,      614,      593,      573,      554,      535,      517,      500,      483,      467,      451,      436,      421,      407,      393,      380,      367,      355,      343,      331,      320,      309,      299,      289,      279,      270,      261,      252,      243,      235,      227,      220,      212,      205,      198,      191,      185,      179,      173,      167,      161,      156,      151,      146,      141,      136,      131,      127,      123,      119,      115,      111,      107,      103,      100,       97,       93,       90,       87,       84,       81,       79,       76,       73,       71,       69,       66,       64,       62,       60,       58,       56,       54,       52,       50,       49,       47,       45,       44,       42,       41,       40,       38,       37,       36,       35,       33,       32,       31,       30,       29,       28,       27,       26,       25,       25,       24,       23,       22,       21,       21,       20,       19,       19,       18,       17,       17,       16,       16,       15,       15,       14,       14,       13,       13,       12,       12,       12,       11,       11,       11,       10,       10,       10,        9,        9,        9,        8,        8,        8,        8,        7,        7,        7,        7,        6,        6,        6,        6,        6,        5,        5,        5,        5,        5,        5,        5,        4,        4,        4,        4,        4,        4,        4,        4,        3,        3,        3
African Clawless Otter [70],     1646,     1716,     1790,     1870,     1955,     2044,     2139,     2238,     2341,     2449,     2562,     2679,     2801,     2928,     3061,     3198,     3341,     3490,     3645,     3806,     3973,     4147,     4327,     4514,     4709,     4910,     5120,     5337,     5562,     5795,     6037,     6287,     6546,     6815,     7093,     7380,     7678,     7986,     8304,     8633,     8972,     9323,     9686,    10060,    10446,    10845,    11256,    11680,    12117,    12567,    13031,    13508,    14000,    14506,    15027,    15562,    16113,    16679,    17260,    17857,    18471,    19100,    19746,    20409,    21089,    21785,    22499,    23231,    23980,    24746,    25531,    26334,    27154,    27994,    28851,    29727,    30622,    31535,    32467,    33417,    34387,    35375,    36382,    37408,    38452,    39515,    40596,    41697,    42815,    43952,    45107,    46279,    47470,    48678,    49904,    51146,    52406,    53682,    54975,    56284,    57608,    58948,    60303,    61672,    63056,    64454,    65865,    67289,    68725,    70174,    71633,    73104,    74586,    76077,    77577,    79087,    80604,    82129,    83661,    85199,    86743,    88292,    89845,    91401,    92961,    94523,    96086,    97651,    99215,   100779,   102341,   103902,   105460,   107014,   108564,   110109,   111648,   113181,   114706,   116224,   117733,   119233,   120722,   122201,   123668,   125124,   126566,   127995,   129410,   130809,   132194,   133562,   134913,   136248,   137564,   138862,   140141,   141400,   142639,   143858,   145055,   146231,   147385,   148517,   149625,   150711,   151773,   152811,   153824,   154813,   155777,   156716,   157629,   158517,   159378,   160214,   161023,   161806,   162562,   163291,   163993,   164669,   165317,   165938,   166533,   167100,   167639,   168152,   168637,   169096,   169527,   169931,   170309,   170659,   170983,   171280,   171551,   171795,   172013,   172205
Grass and Herbs [5],     7106,     5505,     4023,     2629,     1381,      486,      126,       44,       22,       13,        9,        6,        4,        3,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Fish Eagle [53],     1383,     1449,     1520,     1596,     1677,     1764,     1855,     1952,     2053,     2159,     2270,     2387,     2509,     2637,     2771,     2911,     3057,     3211,     3371,     3538,     3713,     3896,     4086,     4286,     4494,     4710,     4937,     5173,     5419,     5675,     5942,     6221,     6511,     6812,     7126,     7453,     7793,     8146,     8513,     8895,     9292,     9703,    10131,    10574,    11035,    11512,    12007,    12520,    13052,    13603,    14173,    14763,    15374,    16006,    16659,    17335,    18033,    18754,    19499,    20268,    21061,    21879,    22724,    23594,    24490,    25414,    26366,    27345,    28353,    29389,    30455,    31551,    32677,    33833,    35020,    36239,    37490,    38772,    40087,    41434,    42815,    44228,    45675,    47156,    48670,    50219,    51802,    53419,    55070,    56756,    58476,    60231,    62020,    63844,    65702,    67594,    69520,    71480,    73474,    75501,    77561,    79655,    81780,    83938,    86127,    88347,    90598,    92879,    95189,    97529,    99897,   102292,   104714,   107163,   109636,   112135,   114657,   117201,   119768,   122356,   124963,   127590,   130234,   132895,   135572,   138264,   140969,   143687,   146415,   149154,   151901,   154656,   157416,   160182,   162952,   165723,   168496,   171269,   174039,   176807,   179571,   182328,   185079,   187821,   190554,   193276,   195985,   198681,   201361,   204025,   206672,   209300,   211907,   214494,   217057,   219597,   222111,   224600,   227061,   229494,   231897,   234269,   236610,   238918,   241193,   243433,   245637,   247805,   249936,   252029,   254083,   256097,   258071,   260003,   261894,   263743,   265549,   267311,   269029,   270703,   272332,   273916,   275453,   276945,   278391,   279789,   281141,   282446,   283703,   284912,   286074,   287189,   288255,   289273,   290244,   291167,   292041,   292868,   293648,   294379
Smith's Red Hock Hare [52],     1367,     1460,     1556,     1653,     1745,     1816,     1842,     1836,     1819,     1798,     1776,     1753,     1729,     1705,     1682,     1658,     1635,     1611,     1588,     1566,     1544,     1522,     1500,     1478,     1457,     1436,     1416,     1396,     1376,     1356,     1337,     1318,     1299,     1280,     1262,     1244,     1226,     1209,     1191,     1174,     1158,     1141,     1125,     1109,     1093,     1077,     1062,     1047,     1032,     1017,     1003,      988,      974,      960,      946,      933,      920,      906,      894,      881,      868,      856,      844,      831,      820,      808,      796,      785,      774,      763,      752,      741,      730,      720,      710,      700,      690,      680,      670,      661,      651,      642,      633,      624,      615,      606,      597,      589,      580,      572,      564,      556,      548,      540,      532,      525,      517,      510,      503,      495,      488,      481,      474,      468,      461,      454,      448,      441,      435,      429,      423,      417,      411,      405,      399,      393,      388,      382,      377,      371,      366,      361,      356,      351,      346,      341,      336,      331,      326,      322,      317,      313,      308,      304,      299,      295,      291,      287,      283,      279,      275,      271,      267,      263,      260,      256,      252,      249,      245,      242,      238,      235,      232,      228,      225,      222,      219,      216,      213,      210,      207,      204,      201,      198,      196,      193,      190,      188,      185,      182,      180,      177,      175,      173,      170,      168,      166,      163,      161,      159,      157,      155,      153,      151,      149,      147,      145,      143,      141,      139,      137,      135,      134,      132,      130,      129,      127,      125,      124,      122
African Grey Hornbill [42],     1815,     2221,     2650,     3023,     3146,     2641,     1519,      670,      273,      110,       45,       18,        8,        3,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Nile Crocodile [91],     1529,     1529,     1530,     1531,     1531,     1532,     1533,     1533,     1534,     1535,     1536,     1536,     1537,     1538,     1538,     1539,     1539,     1540,     1541,     1541,     1542,     1542,     1543,     1543,     1544,     1544,     1545,     1545,     1546,     1546,     1546,     1547,     1547,     1547,     1548,     1548,     1548,     1548,     1549,     1549,     1549,     1549,     1550,     1550,     1550,     1550,     1550,     1550,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1551,     1550,     1550,     1550,     1550,     1550,     1550,     1550,     1550,     1549,     1549,     1549,     1549,     1549,     1549,     1548,     1548,     1548,     1548,     1548,     1547,     1547,     1547,     1547,     1546,     1546,     1546,     1546,     1546,     1545,     1545,     1545,     1545,     1544,     1544,     1544,     1544,     1543,     1543,     1543,     1542,     1542,     1542,     1542,     1541,     1541,     1541,     1541,     1540,     1540,     1540,     1539,     1539,     1539,     1538,     1538,     1538,     1538,     1537,     1537,     1537,     1536,     1536,     1536,     1535,     1535,     1535,     1535,     1534,     1534,     1534,     1533,     1533,     1533,     1532,     1532,     1532,     1531,     1531,     1531,     1530,     1530,     1530,     1529,     1529,     1529,     1528,     1528,     1528,     1528,     1527,     1527,     1527,     1526,     1526,     1526,     1525,     1525,     1525,     1524,     1524,     1524,     1523,     1523,     1523,     1522,     1522,     1522,     1521,     1521,     1521,     1520,     1520,     1520,     1519,     1519,     1519,     1518,     1518,     1518,     1517,     1517,     1517,     1516,     1516,     1516,     1515,     1515,     1515,     1514
