,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Crops [1],     1801,     1434,     1115,      843,      616,      433,      292,      189,      117,       70,       41,       23,       13,        7,        4,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Mueller's Clawed Frog [32],     1697,     1606,     1511,     1414,     1315,     1213,     1111,     1008,      905,      804,      705,      610,      520,      437,      362,      294,      235,      185,      143,      109,       81,       59,       42,       30,       20,       14,        9,        6,        4,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Black and White Columbus Monkey [66],     1342,     1406,     1468,     1527,     1578,     1621,     1653,     1674,     1682,     1681,     1672,     1657,     1640,     1621,     1602,     1582,     1561,     1541,     1521,     1502,     1482,     1463,     1444,     1425,     1407,     1388,     1370,     1352,     1335,     1317,     1300,     1283,     1267,     1250,     1234,     1218,     1202,     1186,     1171,     1156,     1141,     1126,     1111,     1097,     1082,     1068,     1054,     1041,     1027,     1014,     1001,      988,      975,      962,      950,      937,      925,      913,      901,      889,      878,      866,      855,      844,      833,      822,      811,      801,      790,      780,      770,      760,      750,      740,      731,      721,      712,      703,      693,      684,      676,      667,      658,      650,      641,      633,      624,      616,      608,      600,      593,      585,      577,      570,      562,      555,      548,      541,      534,      527,      520,      513,      506,      500,      493,      487,      481,      474,      468,      462,      456,      450,      444,      438,      433,      427,      422,      416,      411,      405,      400,      395,      390,      385,      380,      375,      370,      365,      360,      356,      351,      346,      342,      337,      333,      329,      324,      320,      316,      312,      308,      304,      300,      296,      292,      288,      285,      281,      277,      274,      270,      267,      263,      260,      256,      253,      250,      246,      243,      240,      237,      234,      231,      228,      225,      222,      219,      216,      213,      211,      208,      205,      202,      200,      197,      195,      192,      190,      187,      185,      182,      180,      178,      175,      173,      171,      169,      166,      164,      162,      160,      158,      156,      154,      152,      150,      148,      146,      144,      142
Black Backed Jackal [67],     1505,     1606,     1714,     1829,     1952,     2083,     2223,     2373,     2532,     2702,     2884,     3078,     3285,     3507,     3743,     3996,     4266,     4554,     4862,     5192,     5543,     5919,     6320,     6749,     7208,     7697,     8221,     8780,     9377,    10016,    10698,    11427,    12206,    13038,    13928,    14878,    15894,    16980,    18140,    19380,    20704,    22120,    23633,    25250,    26978,    28824,    30798,    32907,    35161,    37569,    40144,    42895,    45835,    48977,    52335,    55924,    59759,    63858,    68238,    72920,    77924,    83271,    88986,    95093,   101620,   108596,   116052,   124019,   132535,   141635,   151362,   161756,   172866,   184738,   197427,   210988,   225482,   240971,   257525,   275217,   294125,   314333,   335929,   359011,   383678,   410042,   438217,   468329,   500511,   534905,   571664,   610948,   652934,   697805,   745761,   797013,   851787,   910327,   972891,  1039756,  1111216,  1187589,  1269211,  1356444,  1449673,  1549310,  1655797,  1769603,  1891231,  2021220,  2160145,  2308619,  2467298,  2636885,  2818129,  3011831,  3218848,  3440095,  3676550,  3929258,  4199337,  4487981,  4796465,  5126155,  5478506,  5855077,  6257533,  6687653,  7147338,  7638622,  8163675,  8724819,  9324535,  9965475, 10650471, 11382553, 12164956, 13001140, 13894802, 14849892, 15870634, 16961539, 18127431, 19373463, 20705146, 22128366, 23649414, 25275017, 27012361, 28869126, 30853521, 32974319, 35240897, 37663275, 40252162, 43019005, 45976034, 49136324, 52513845, 56123531, 59981339, 64104325, 68510716, 73219995, 78252979, 83631921, 89380600, 95524432,102090579,109108069,116607927,124623311,133189656,142344834,152129321,162586373,173762222,185706277,198471342,212113851,226694120,242276606,258930201,276728531,295750282,316079550,337806211,361026318,385842529,412364557,440709655,471003138,503378934,537980176,574959839,614481409,656719612,701861184,750105696,801666440
Ants [11],     1950,     1902,     1845,     1778,     1702,     1617,     1525,     1429,     1332,     1240,     1154,     1076,     1007,      945,      890,      841,      797,      757,      722,      689,      660,      632,      607,      584,      563,      542,      524,      506,      490,      474,      459,      445,      432,      420,      408,      397,      386,      376,      367,      357,      349,      340,      332,      325,      317,      310,      303,      297,      290,      284,      278,      273,      267,      262,      257,      252,      247,      243,      238,      234,      230,      226,      222,      218,      214,      211,      207,      204,      201,      197,      194,      191,      188,      185,      183,      180,      177,      175,      172,      170,      167,      165,      162,      160,      158,      156,      154,      152,      150,      148,      146,      144,      142,      140,      138,      137,      135,      133,      132,      130,      129,      127,      125,      124,      123,      121,      120,      118,      117,      116,      114,      113,      112,      111,      109,      108,      107,      106,      105,      104,      103,      101,      100,       99,       98,       97,       96,       95,       94,       93,       92,       92,       91,       90,       89,       88,       87,       86,       85,       85,       84,       83,       82,       82,       81,       80,       79,       79,       78,       77,       76,       76,       75,       74,       74,       73,       72,       72,       71,       70,       70,       69,       69,       68,       67,       67,       66,       66,       65,       65,       64,       64,       63,       63,       62,       61,       61,       60,       60,       60,       59,       59,       58,       58,       57,       57,       56,       56,       55,       55,       54,       54,       54,       53,       53,       52,       52,       52,       51,       51
Lappet-Faced Vulture [63],     1898,     2001,     2108,     2220,     2336,     2457,     2583,     2711,     2844,     2979,     3116,     3256,     3398,     3542,     3688,     3835,     3984,     4134,     4286,     4439,     4594,     4749,     4906,     5063,     5222,     5381,     5541,     5702,     5863,     6025,     6186,     6349,     6511,     6673,     6835,     6997,     7159,     7321,     7482,     7643,     7803,     7962,     8121,     8279,     8436,     8592,     8748,     8902,     9055,     9207,     9357,     9506,     9654,     9801,     9946,    10089,    10231,    10371,    10509,    10646,    10781,    10914,    11045,    11175,    11302,    11428,    11551,    11673,    11792,    11909,    12024,    12137,    12248,    12357,    12463,    12568,    12670,    12769,    12867,    12962,    13055,    13146,    13234,    13320,    13404,    13485,    13564,    13641,    13716,    13788,    13857,    13925,    13990,    14053,    14114,    14172,    14228,    14282,    14333,    14382,    14429,    14474,    14516,    14556,    14595,    14630,    14664,    14696,    14725,    14752,    14778,    14801,    14822,    14841,    14858,    14873,    14886,    14897,    14906,    14913,    14919,    14922,    14924,    14923,    14921,    14917,    14912,    14904,    14895,    14885,    14872,    14858,    14843,    14825,    14807,    14786,    14764,    14741,    14716,    14690,    14662,    14633,    14603,    14571,    14538,    14504,    14468,    14431,    14393,    14354,    14314,    14272,    14229,    14186,    14141,    14095,    14048,    14000,    13951,    13901,    13851,    13799,    13747,    13693,    13639,    13584,    13528,    13471,    13414,    13356,    13297,    13238,    13178,    13117,    13055,    12993,    12931,    12868,    12804,    12740,    12675,    12610,    12544,    12478,    12412,    12345,    12277,    12210,    12142,    12073,    12005,    11936,    11866,    11797,    11727,    11657,    11586,    11516,    11445,    11374
Tree Mouse [31],     1801,     2119,     2385,     2580,     2699,     2753,     2761,     2746,     2725,     2712,     2716,     2741,     2789,     2859,     2950,     3061,     3191,     3341,     3508,     3694,     3899,     4122,     4365,     4628,     4912,     5218,     5548,     5903,     6284,     6694,     7133,     7605,     8110,     8652,     9233,     9855,    10521,    11234,    11998,    12816,    13691,    14627,    15630,    16702,    17850,    19078,    20391,    21796,    23299,    24906,    26626,    28465,    30431,    32535,    34784,    37190,    39762,    42513,    45454,    48600,    51963,    55560,    59405,    63517,    67913,    72613,    77639,    83013,    88758,    94901,   101468,   108489,   115996,   124021,   132602,   141775,   151582,   162066,   173275,   185258,   198069,   211764,   226405,   242056,   258789,   276676,   295798,   316240,   338093,   361453,   386426,   413122,   441660,   472166,   504777,   539638,   576903,   616739,   659322,   704842,   753501,   805515,   861116,   920550,   984083,  1051995,  1124590,  1202188,  1285136,  1373802,  1468579,  1569889,  1678181,  1793937,  1917670,  2049930,  2191304,  2342420,  2503948,  2676607,  2861162,  3058432,  3269294,  3494682,  3735599,  3993111,  4268364,  4562577,  4877056,  5213197,  5572491,  5956533,  6367026,  6805791,  7274774,  7776056,  8311861,  8884565,  9496708, 10151005, 10850358, 11597869, 12396852, 13250850, 14163651, 15139302, 16182129, 17296755, 18488124, 19761515, 21122576, 22577340, 24132256, 25794217, 27570591, 29469250, 31498612, 33667671, 35986042, 38463998, 41112524, 43943357, 46969043, 50202990, 53659530, 57353981, 61302713, 65523225, 70034218, 74855680, 80008974, 85516934, 91403964, 97696146,104421358,111609395,119292102,127503514,136280009,145660467,155686442,166402346,177855649,190097084,203180875,217164976,232111327,248086130,265160140,283408980,302913475,323760008,346040907,369854850,395307300,422510978,451586358,482662199,515876118,551375198
