,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Plant Juices [2],     7119,     6011,     5235,     4663,     4223,     3876,     3595,     3363,     3169,     3004,     2863,     2740,     2633,     2539,     2456,     2381,     2315,     2255,     2200,     2151,     2107,     2066,     2028,     1994,     1963,     1933,     1907,     1882,     1859,     1837,     1817,     1799,     1781,     1765,     1750,     1736,     1723,     1710,     1699,     1688,     1678,     1668,     1659,     1650,     1642,     1635,     1628,     1621,     1615,     1609,     1603,     1598,     1593,     1588,     1583,     1579,     1575,     1571,     1567,     1564,     1561,     1558,     1555,     1552,     1549,     1547,     1545,     1542,     1540,     1538,     1536,     1534,     1533,     1531,     1530,     1528,     1527,     1525,     1524,     1523,     1522,     1521,     1520,     1519,     1518,     1517,     1516,     1515,     1515,     1514,     1513,     1513,     1512,     1511,     1511,     1510,     1510,     1509,     1509,     1508,     1508,     1508,     1507,     1507,     1507,     1506,     1506,     1506,     1505,     1505,     1505,     1505,     1504,     1504,     1504,     1504,     1504,     1503,     1503,     1503,     1503,     1503,     1503,     1503,     1502,     1502,     1502,     1502,     1502,     1502,     1502,     1502,     1502,     1502,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1501,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500,     1500
Greater Bushbaby [55],     1354,     1064,      800,      578,      402,      273,      181,      119,       77,       50,       32,       21,       13,        9,        6,        4,        2,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Leopard [80],     1484,     1252,     1007,      772,      566,      400,      274,      183,      120,       78,       50,       32,       20,       13,        8,        5,        3,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Thrips [8],     1293,     1187,     1075,      958,      840,      725,      616,      516,      425,      346,      279,      222,      176,      138,      107,       83,       65,       50,       38,       29,       23,       17,       13,       10,        8,        6,        5,        4,        3,        2,        2,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Rove and Ground Beetles [9],     1257,     1456,     1663,     1870,     2069,     2252,     2412,     2544,     2644,     2711,     2748,     2755,     2738,     2701,     2646,     2579,     2502,     2419,     2332,     2243,     2152,     2063,     1974,     1888,     1803,     1722,     1643,     1567,     1494,     1425,     1358,     1294,     1233,     1175,     1119,     1066,     1015,      967,      921,      877,      835,      796,      758,      722,      687,      654,      623,      594,      565,      538,      513,      488,      465,      443,      422,      401,      382,      364,      347,      330,      314,      299,      285,      271,      259,      246,      234,      223,      213,      202,      193,      184,      175,      166,      159,      151,      144,      137,      130,      124,      118,      113,      107,      102,       97,       93,       88,       84,       80,       76,       73,       69,       66,       63,       60,       57,       54,       51,       49,       47,       44,       42,       40,       38,       37,       35,       33,       32,       30,       29,       27,       26,       25,       24,       22,       21,       20,       19,       18,       18,       17,       16,       15,       14,       14,       13,       12,       12,       11,       11,       10,       10,        9,        9,        8,        8,        8,        7,        7,        7,        6,        6,        6,        5,        5,        5,        5,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0
Nile Crocodile [91],     1742,     2100,     2419,     2664,     2819,     2881,     2864,     2787,     2670,     2529,     2375,     2219,     2065,     1916,     1775,     1642,     1517,     1401,     1294,     1194,     1102,     1017,      938,      866,      799,      737,      679,      627,      578,      533,      492,      454,      419,      386,      356,      328,      303,      279,      258,      238,      219,      202,      187,      172,      159,      146,      135,      125,      115,      106,       98,       90,       83,       77,       71,       65,       60,       56,       51,       47,       44,       40,       37,       34,       32,       29,       27,       25,       23,       21,       19,       18,       17,       15,       14,       13,       12,       11,       10,        9,        9,        8,        7,        7,        6,        6,        5,        5,        5,        4,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Herbivorous True Bugs [15],     1932,     1776,     1609,     1436,     1260,     1089,      926,      775,      640,      522,      420,      335,      265,      208,      162,      126,       98,       75,       58,       45,       34,       26,       20,       16,       12,        9,        7,        5,        4,        3,        2,        2,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
