,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
African Clawless Otter [70],     1772,     1842,     1914,     1986,     2057,     2127,     2195,     2259,     2317,     2369,     2411,     2443,     2464,     2473,     2471,     2461,     2445,     2424,     2400,     2374,     2347,     2320,     2293,     2265,     2238,     2211,     2184,     2157,     2131,     2105,     2079,     2053,     2028,     2003,     1979,     1955,     1931,     1907,     1884,     1861,     1838,     1815,     1793,     1771,     1749,     1728,     1707,     1686,     1665,     1645,     1625,     1605,     1585,     1566,     1547,     1528,     1509,     1490,     1472,     1454,     1436,     1419,     1401,     1384,     1367,     1350,     1334,     1318,     1301,     1286,     1270,     1254,     1239,     1224,     1209,     1194,     1179,     1165,     1151,     1136,     1123,     1109,     1095,     1082,     1069,     1055,     1043,     1030,     1017,     1005,      992,      980,      968,      956,      945,      933,      922,      910,      899,      888,      877,      867,      856,      845,      835,      825,      815,      805,      795,      785,      776,      766,      757,      747,      738,      729,      720,      711,      703,      694,      686,      677,      669,      661,      653,      645,      637,      629,      621,      614,      606,      599,      591,      584,      577,      570,      563,      556,      549,      542,      536,      529,      523,      516,      510,      504,      498,      492,      486,      480,      474,      468,      462,      457,      451,      445,      440,      435,      429,      424,      419,      414,      409,      404,      399,      394,      389,      384,      379,      375,      370,      366,      361,      357,      352,      348,      344,      340,      335,      331,      327,      323,      319,      315,      312,      308,      304,      300,      297,      293,      289,      286,      282,      279,      275,      272,      269,      265,      262,      259
Lion [86],     1478,     1382,     1250,     1095,      930,      769,      624,      499,      396,      313,      247,      195,      154,      122,       97,       78,       62,       50,       40,       32,       26,       21,       17,       14,       11,        9,        7,        6,        5,        4,        3,        3,        2,        2,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Fruits and Nectar [3],     6433,     5489,     4804,     4289,     3894,     3587,     3347,     3158,     3011,     2896,     2807,     2738,     2686,     2646,     2616,     2593,     2576,     2563,     2552,     2544,     2538,     2533,     2530,     2527,     2524,     2523,     2521,     2520,     2520,     2519,     2519,     2518,     2518,     2518,     2518,     2518,     2518,     2518,     2518,     2518,     2518,     2519,     2519,     2519,     2519,     2519,     2519,     2519,     2519,     2519,     2519,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2520,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521,     2521
African Fish Eagle [53],     1493,     1530,     1568,     1605,     1642,     1677,     1711,     1742,     1771,     1796,     1816,     1831,     1841,     1845,     1845,     1840,     1832,     1822,     1811,     1798,     1785,     1772,     1759,     1745,     1732,     1718,     1705,     1692,     1679,     1666,     1653,     1640,     1627,     1614,     1602,     1589,     1577,     1564,     1552,     1540,     1528,     1516,     1504,     1493,     1481,     1469,     1458,     1446,     1435,     1424,     1413,     1402,     1391,     1380,     1369,     1359,     1348,     1337,     1327,     1317,     1306,     1296,     1286,     1276,     1266,     1256,     1246,     1237,     1227,     1217,     1208,     1198,     1189,     1180,     1171,     1161,     1152,     1143,     1134,     1126,     1117,     1108,     1099,     1091,     1082,     1074,     1065,     1057,     1049,     1041,     1033,     1025,     1017,     1009,     1001,      993,      985,      977,      970,      962,      955,      947,      940,      933,      925,      918,      911,      904,      897,      890,      883,      876,      869,      862,      856,      849,      842,      836,      829,      823,      816,      810,      804,      797,      791,      785,      779,      773,      767,      761,      755,      749,      743,      737,      731,      726,      720,      714,      709,      703,      698,      692,      687,      682,      676,      671,      666,      661,      655,      650,      645,      640,      635,      630,      625,      620,      616,      611,      606,      601,      597,      592,      587,      583,      578,      574,      569,      565,      560,      556,      552,      547,      543,      539,      535,      530,      526,      522,      518,      514,      510,      506,      502,      498,      494,      490,      487,      483,      479,      475,      472,      468,      464,      461,      457,      453,      450,      446,      443,      439
African Grey Hornbill [42],     1167,     1102,     1029,      948,      862,      770,      674,      576,      480,      387,      302,      227,      164,      114,       77,       51,       33,       21,       13,        9,        5,        3,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Southern Eland [89],     1650,     1951,     2225,     2446,     2599,     2683,     2707,     2688,     2640,     2578,     2510,     2443,     2380,     2324,     2275,     2232,     2196,     2165,     2139,     2118,     2099,     2084,     2072,     2061,     2053,     2046,     2040,     2035,     2031,     2028,     2025,     2023,     2022,     2020,     2019,     2018,     2018,     2017,     2017,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2016,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017,     2017
Oribi [73],     1696,     1618,     1493,     1333,     1153,      971,      801,      652,      526,      422,      339,      272,      218,      176,      142,      115,       94,       76,       62,       51,       42,       34,       28,       23,       19,       16,       13,       11,        9,        7,        6,        5,        4,        3,        3,        2,        2,        2,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
