,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Katydids [16],     1555,     1665,     1774,     1877,     1970,     2046,     2100,     2128,     2133,     2120,     2094,     2062,     2026,     1988,     1950,     1913,     1875,     1839,     1803,     1767,     1732,     1698,     1665,     1632,     1600,     1569,     1538,     1508,     1478,     1449,     1420,     1393,     1365,     1338,     1312,     1286,     1261,     1236,     1212,     1188,     1165,     1142,     1119,     1097,     1076,     1054,     1034,     1013,      993,      974,      955,      936,      918,      900,      882,      865,      848,      831,      815,      799,      783,      767,      752,      738,      723,      709,      695,      681,      668,      655,      642,      629,      617,      605,      593,      581,      570,      559,      548,      537,      526,      516,      506,      496,      486,      476,      467,      458,      449,      440,      431,      423,      415,      406,      398,      391,      383,      375,      368,      361,      354,      347,      340,      333,      327,      320,      314,      308,      302,      296,      290,      284,      279,      273,      268,      263,      257,      252,      247,      243,      238,      233,      228,      224,      220,      215,      211,      207,      203,      199,      195,      191,      187,      184,      180,      177,      173,      170,      166,      163,      160,      157,      154,      151,      148,      145,      142,      139,      136,      134,      131,      128,      126,      123,      121,      119,      116,      114,      112,      110,      107,      105,      103,      101,       99,       97,       95,       93,       92,       90,       88,       86,       85,       83,       81,       80,       78,       77,       75,       74,       72,       71,       69,       68,       67,       65,       64,       63,       62,       60,       59,       58,       57,       56,       55,       54,       53,       52,       51,       50
Crops [1],     1581,     1294,     1024,      779,      565,      386,      248,      149,       85,       47,       25,       13,        7,        4,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
African Marsh Owl [49],     1886,     2168,     2494,     2871,     3307,     3813,     4401,     5083,     5875,     6796,     7866,     9111,    10559,    12243,    14202,    16481,    19132,    22217,    25807,    29985,    34846,    40502,    47084,    54743,    63656,    74028,    86097,   100142,   116486,   135505,   157637,   183393,   213364,   248241,   288827,   336057,   391018,   454976,   529403,   616013,   716800,   834086,   970571,  1129397,  1314221,  1529300,  1779585,  2070841,  2409773,  2804185,  3263159,  3797265,  4418799,  5142073,  5983742,  6963186,  8102957,  9429300, 10972755, 12768862, 14858977, 17291229, 20121622, 23415328, 27248189, 31708460, 36898843, 42938852, 49967564, 58146823, 67664964, 78741152, 91630426,106629577,124083973,144395520,168031913,195537402,227545328,264792708,308137198,358576850,417273086,485577447,565062710,657559101,765196443,890453195,1036213518,1205833690,1403219386,1632915610,1900211347,2211261350,2573227859,2994445514,3484613274,4055017746,4718793063,5491223319,6390094495,7436104002,8653337260,10069822284,11718175065,13636350578,15868516741,18466071419,21488825915,25006382184,29099735490,33863139401,39406276070,45856781783,53363185906,62098330928,72263352328,84092309923,97857577334,113876113656,132516761761,154208741278,179451531804,208826373921,243009652847,282788472880,329078781271,382946458822,445631862864,518578387730,603465700356,702248416299,817201106722,950970672675,1106637292652,1287785346787,1498585950808,1743893000160,2029354935816,2361544805306,2748111613723,3197956449749,3721437442149,4330608266082,5039495691068,5864422561430,6824383646167,7941483012568,9241442994544,10754196475183,12514576121412,14563116441112,16946987130842,19721079205426,22949268918665,26705888578169,31077438121339,36164576863222,42084441278257,48973342185140,56989903440212,66318714410931,77174580331289,89807468407883,104508263565686,121615466365345,141522987318271,164689217071454,191647581312101,223018823429369,259525297753817,302007602490738,351443935337375,408972617466514,475918304513780,553822488102936,644478990237385,749975267851900,872740478603280,1015601414663052,1181847592443865,1375306997015926,1600434225304581,1862413057654666,2167275819574837,2522042282085809,2934881298992409,3415298902939779,3974357191354284,4624929042337488,5381994525602268,6262985833610335,7288188675296815,8481209374874929,9869518431139816,11485083053269780,13365103237896394,15552868336356870,18098753835449212,21061381303567252
Lion [86],     1487,     1385,     1303,     1234,     1177,     1129,     1089,     1054,     1024,      999,      977,      959,      943,      930,      918,      909,      901,      895,      890,      887,      884,      883,      883,      883,      885,      887,      890,      893,      898,      902,      908,      914,      920,      927,      935,      943,      951,      960,      969,      979,      989,     1000,     1011,     1022,     1034,     1046,     1058,     1071,     1084,     1098,     1112,     1126,     1140,     1155,     1171,     1186,     1202,     1219,     1236,     1253,     1270,     1288,     1306,     1325,     1344,     1363,     1383,     1403,     1423,     1444,     1465,     1487,     1509,     1531,     1554,     1578,     1601,     1625,     1650,     1675,     1700,     1726,     1752,     1779,     1806,     1833,     1861,     1890,     1919,     1948,     1978,     2009,     2040,     2071,     2103,     2136,     2169,     2202,     2236,     2271,     2306,     2342,     2379,     2416,     2453,     2492,     2530,     2570,     2610,     2651,     2692,     2734,     2777,     2820,     2865,     2909,     2955,     3001,     3048,     3096,     3145,     3194,     3244,     3295,     3346,     3399,     3452,     3507,     3562,     3617,     3674,     3732,     3791,     3850,     3911,     3972,     4035,     4098,     4162,     4228,     4294,     4362,     4431,     4500,     4571,     4643,     4716,     4790,     4865,     4942,     5020,     5099,     5179,     5261,     5343,     5427,     5513,     5600,     5688,     5777,     5868,     5961,     6054,     6150,     6247,     6345,     6445,     6546,     6649,     6754,     6860,     6969,     7078,     7190,     7303,     7418,     7535,     7653,     7774,     7896,     8021,     8147,     8275,     8406,     8538,     8673,     8809,     8948,     9089,     9232,     9377,     9525,     9675,     9827,     9982,    10139,    10299,    10461,    10626,    10794
Leopard [80],     1793,     1777,     1783,     1807,     1847,     1903,     1974,     2059,     2160,     2276,     2408,     2558,     2726,     2913,     3123,     3355,     3613,     3899,     4214,     4563,     4948,     5373,     5842,     6359,     6929,     7557,     8250,     9014,     9856,    10783,    11806,    12934,    14176,    15547,    17058,    18724,    20562,    22588,    24823,    27289,    30009,    33010,    36321,    39974,    44006,    48456,    53367,    58787,    64771,    71377,    78669,    86721,    95611,   105428,   116268,   128239,   141459,   156060,   172187,   189999,   209674,   231407,   255415,   281937,   311237,   343606,   379368,   418879,   462534,   510769,   564065,   622955,   688028,   759934,   839393,   927199,  1024232,  1131462,  1249965,  1380926,  1525657,  1685610,  1862388,  2057762,  2273692,  2512344,  2776112,  3067641,  3389858,  3745995,  4139629,  4574710,  5055606,  5587148,  6174671,  6824079,  7541893,  8335325,  9212346, 10181768, 11253333, 12437809, 13747101, 15194367, 16794155, 18562547, 20517321, 22678128, 25066694, 27707036, 30625701, 33852040, 37418498, 41360939, 45719015, 50536556, 55862017, 61748960, 68256602, 75450401, 83402721, 92193559,101911348,112653850,124529137,137656681,152168555,168210764,185944710,205548822,227220348,251177343,277660858,306937375,339301480,375078833,414629444,458351299,506684359,560114997,619180883,684476407,756658649,836454004,924665484,1022180804,1129981317,1249151890,1380891823,1526526920,1687522833,1865499813,2062249020,2279750545,2520193348,2785997281,3079837448,3404671132,3763767554,4160740782,4599586104,5084720243,5621025806,6213900436,6869311130,7593854303,8394822177,9280276181,10259128085,11341229704,12537472047,13859894944,15321808225,16937925680,18724513160,20699552290,22882921454,25296595878,27964868805,30914596013,34175466118,37780299393,41765378108,46170811713,51040940539,56424782097,62376524433,68956071544,76229646314,84270457053,93159434348,102986045638,113849195710,125858222191,139133996040,153810138128,170034364146,187969971385,207797482336,229716461672
Black and White Columbus Monkey [66],     1780,     1666,     1543,     1408,     1264,     1114,      966,      827,      705,      603,      519,      452,      399,      355,      319,      289,      263,      241,      223,      206,      192,      179,      168,      157,      148,      140,      132,      125,      119,      113,      108,      103,       98,       94,       90,       86,       82,       79,       76,       73,       70,       68,       65,       63,       61,       59,       57,       55,       53,       51,       49,       48,       46,       45,       44,       42,       41,       40,       39,       37,       36,       35,       34,       33,       32,       31,       31,       30,       29,       28,       27,       27,       26,       25,       25,       24,       23,       23,       22,       22,       21,       21,       20,       20,       19,       19,       18,       18,       17,       17,       16,       16,       16,       15,       15,       15,       14,       14,       14,       13,       13,       13,       12,       12,       12,       11,       11,       11,       11,       10,       10,       10,       10,       10,        9,        9,        9,        9,        9,        8,        8,        8,        8,        8,        7,        7,        7,        7,        7,        7,        7,        6,        6,        6,        6,        6,        6,        6,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2
Black Mamba [75],     1439,     1320,     1200,     1080,      962,      849,      745,      653,      576,      514,      465,      426,      395,      371,      352,      336,      323,      313,      304,      297,      291,      287,      283,      280,      278,      276,      275,      274,      274,      274,      275,      276,      277,      279,      281,      283,      285,      288,      291,      294,      298,      302,      306,      310,      314,      319,      324,      329,      335,      340,      346,      352,      359,      365,      372,      379,      387,      394,      402,      410,      419,      428,      437,      446,      456,      466,      476,      486,      497,      509,      520,      532,      545,      557,      571,      584,      598,      613,      627,      643,      658,      675,      691,      709,      726,      745,      763,      783,      803,      823,      845,      866,      889,      912,      936,      960,      985,     1011,     1038,     1066,     1094,     1123,     1153,     1184,     1216,     1249,     1282,     1317,     1353,     1390,     1427,     1466,     1507,     1548,     1591,     1634,     1679,     1726,     1774,     1823,     1874,     1926,     1979,     2035,     2092,     2150,     2211,     2273,     2337,     2402,     2470,     2540,     2612,     2686,     2762,     2840,     2921,     3004,     3089,     3178,     3268,     3362,     3458,     3557,     3659,     3763,     3871,     3983,     4097,     4215,     4336,     4461,     4590,     4722,     4859,     4999,     5144,     5293,     5446,     5604,     5766,     5934,     6106,     6283,     6466,     6654,     6848,     7047,     7252,     7464,     7682,     7906,     8136,     8374,     8619,     8871,     9130,     9397,     9673,     9956,    10248,    10548,    10857,    11176,    11504,    11841,    12189,    12547,    12916,    13296,    13687,    14089,    14504,    14931,    15370,    15823,    16289,    16769,    17264,    17773
