,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Ostrich [85],     1876,     2211,     2597,     3035,     3511,     3968,     4174,     4067,     3923,     3784,     3650,     3520,     3395,     3275,     3159,     3046,     2938,     2834,     2733,     2636,     2543,     2453,     2366,     2282,     2201,     2122,     2047,     1974,     1904,     1837,     1772,     1709,     1648,     1590,     1533,     1479,     1426,     1376,     1327,     1280,     1234,     1190,     1148,     1107,     1068,     1030,      994,      958,      924,      892,      860,      829,      800,      772,      744,      718,      692,      668,      644,      621,      599,      578,      557,      538,      518,      500,      482,      465,      449,      433,      417,      403,      388,      374,      361,      348,      336,      324,      313,      301,      291,      280,      271,      261,      252,      243,      234,      226,      218,      210,      203,      195,      188,      182,      175,      169,      163,      157,      152,      146,      141,      136,      131,      127,      122,      118,      114,      110,      106,      102,       98,       95,       91,       88,       85,       82,       79,       76,       74,       71,       69,       66,       64,       61,       59,       57,       55,       53,       51,       49,       48,       46,       44,       43,       41,       40,       38,       37,       36,       34,       33,       32,       31,       30,       29,       28,       27,       26,       25,       24,       23,       22,       22,       21,       20,       19,       19,       18,       17,       17,       16,       16,       15,       14,       14,       13,       13,       13,       12,       12,       11,       11,       10,       10,       10,        9,        9,        9,        8,        8,        8,        8,        7,        7,        7,        7,        6,        6,        6,        6,        5,        5,        5,        5,        5,        5,        4,        4,        4,        4
Topi [87],     1230,     1261,     1290,     1315,     1331,     1326,     1258,     1133,     1014,      908,      814,      729,      654,      587,      527,      473,      425,      382,      343,      309,      278,      250,      225,      203,      183,      165,      149,      134,      121,      109,       99,       89,       81,       73,       66,       60,       54,       49,       44,       40,       36,       33,       30,       27,       25,       22,       20,       19,       17,       15,       14,       13,       12,       11,       10,        9,        8,        7,        7,        6,        6,        5,        5,        4,        4,        4,        3,        3,        3,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Lion [86],     1056,     1087,     1119,     1152,     1186,     1221,     1257,     1294,     1332,     1371,     1411,     1452,     1494,     1538,     1583,     1629,     1677,     1726,     1776,     1828,     1882,     1937,     1994,     2053,     2114,     2176,     2241,     2308,     2377,     2448,     2521,     2597,     2676,     2757,     2841,     2927,     3016,     3109,     3204,     3303,     3405,     3510,     3619,     3731,     3847,     3967,     4092,     4220,     4352,     4489,     4631,     4777,     4928,     5085,     5246,     5413,     5586,     5764,     5949,     6139,     6336,     6540,     6750,     6968,     7192,     7425,     7665,     7913,     8170,     8435,     8709,     8993,     9286,     9588,     9901,    10225,    10559,    10905,    11262,    11631,    12013,    12407,    12815,    13237,    13672,    14123,    14588,    15069,    15567,    16081,    16612,    17162,    17729,    18316,    18923,    19550,    20198,    20868,    21561,    22277,    23017,    23781,    24572,    25389,    26234,    27107,    28010,    28943,    29907,    30904,    31934,    32999,    34100,    35238,    36414,    37630,    38887,    40186,    41529,    42917,    44352,    45835,    47368,    48952,    50590,    52283,    54033,    55842,    57712,    59645,    61643,    63708,    65843,    68049,    70330,    72688,    75125,    77644,    80248,    82939,    85721,    88597,    91569,    94642,    97818,   101101,   104495,   108002,   111628,   115376,   119250,   123255,   127394,   131672,   136095,   140667,   145392,   150277,   155326,   160545,   165939,   171516,   177280,   183238,   189396,   195762,   202342,   209144,   216175,   223442,   230954,   238719,   246746,   255042,   263618,   272483,   281646,   291118,   300908,   311028,   321489,   332301,   343478,   355031,   366973,   379317,   392077,   405266,   418899,   432992,   447558,   462615,   478179,   494267,   510896,   528085,   545853,   564219,   583204,   602827
Grass and Herbs [5],     6716,     5574,     4440,     3267,     2036,      824,       90,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Black Rhinoceros [93],     1945,     1981,     2017,     2053,     2087,     2116,     2128,     2122,     2113,     2105,     2096,     2088,     2079,     2071,     2062,     2054,     2046,     2037,     2029,     2021,     2013,     2004,     1996,     1988,     1980,     1972,     1964,     1956,     1948,     1940,     1933,     1925,     1917,     1909,     1901,     1894,     1886,     1878,     1871,     1863,     1856,     1848,     1841,     1833,     1826,     1818,     1811,     1804,     1796,     1789,     1782,     1774,     1767,     1760,     1753,     1746,     1739,     1732,     1725,     1718,     1711,     1704,     1697,     1690,     1683,     1676,     1669,     1663,     1656,     1649,     1643,     1636,     1629,     1623,     1616,     1610,     1603,     1597,     1590,     1584,     1577,     1571,     1564,     1558,     1552,     1545,     1539,     1533,     1527,     1521,     1514,     1508,     1502,     1496,     1490,     1484,     1478,     1472,     1466,     1460,     1454,     1448,     1442,     1436,     1431,     1425,     1419,     1413,     1408,     1402,     1396,     1390,     1385,     1379,     1374,     1368,     1363,     1357,     1351,     1346,     1341,     1335,     1330,     1324,     1319,     1314,     1308,     1303,     1298,     1292,     1287,     1282,     1277,     1272,     1266,     1261,     1256,     1251,     1246,     1241,     1236,     1231,     1226,     1221,     1216,     1211,     1206,     1201,     1196,     1192,     1187,     1182,     1177,     1172,     1168,     1163,     1158,     1153,     1149,     1144,     1139,     1135,     1130,     1126,     1121,     1117,     1112,     1107,     1103,     1099,     1094,     1090,     1085,     1081,     1076,     1072,     1068,     1063,     1059,     1055,     1050,     1046,     1042,     1038,     1034,     1029,     1025,     1021,     1017,     1013,     1009,     1005,     1000,      996,      992,      988,      984,      980,      976,      972
Hippopotamus [94],     1134,     1410,     1745,     2145,     2603,     3061,     3273,     3163,     3015,     2874,     2740,     2612,     2490,     2373,     2262,     2156,     2055,     1959,     1868,     1780,     1697,     1618,     1542,     1470,     1401,     1336,     1273,     1214,     1157,     1103,     1051,     1002,      955,      910,      868,      827,      789,      752,      716,      683,      651,      621,      592,      564,      538,      512,      488,      466,      444,      423,      403,      384,      366,      349,      333,      317,      303,      288,      275,      262,      250,      238,      227,      216,      206,      197,      187,      179,      170,      162,      155,      147,      141,      134,      128,      122,      116,      111,      105,      101,       96,       91,       87,       83,       79,       75,       72,       69,       65,       62,       59,       57,       54,       51,       49,       47,       45,       42,       40,       39,       37,       35,       33,       32,       30,       29,       28,       26,       25,       24,       23,       22,       21,       20,       19,       18,       17,       16,       16,       15,       14,       13,       13,       12,       12,       11,       11,       10,       10,        9,        9,        8,        8,        8,        7,        7,        7,        6,        6,        6,        5,        5,        5,        5,        4,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Nile Crocodile [91],     1401,     1392,     1381,     1367,     1346,     1311,     1233,     1118,     1010,      912,      824,      745,      674,      609,      552,      499,      452,      410,      372,      337,      306,      277,      252,      229,      208,      189,      172,      156,      142,      130,      118,      108,       98,       89,       82,       74,       68,       62,       57,       52,       47,       43,       40,       36,       33,       30,       28,       26,       23,       21,       20,       18,       17,       15,       14,       13,       12,       11,       10,        9,        9,        8,        7,        7,        6,        6,        5,        5,        4,        4,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
