,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Lion [86],     1173,     1187,     1199,     1209,     1216,     1221,     1224,     1224,     1221,     1214,     1205,     1193,     1178,     1159,     1137,     1113,     1086,     1056,     1024,      990,      954,      916,      877,      837,      797,      756,      716,      675,      636,      597,      559,      523,      488,      454,      422,      392,      364,      337,      312,      289,      267,      247,      228,      211,      196,      181,      168,      156,      145,      134,      125,      117,      109,      102,       95,       89,       83,       78,       74,       69,       65,       62,       58,       55,       52,       50,       47,       45,       43,       41,       39,       37,       36,       34,       33,       31,       30,       29,       28,       27,       26,       25,       24,       23,       22,       22,       21,       20,       20,       19,       18,       18,       17,       17,       16,       16,       16,       15,       15,       14,       14,       14,       13,       13,       13,       12,       12,       12,       11,       11,       11,       11,       10,       10,       10,       10,        9,        9,        9,        9,        9,        8,        8,        8,        8,        8,        8,        7,        7,        7,        7,        7,        7,        6,        6,        6,        6,        6,        6,        6,        6,        5,        5,        5,        5,        5,        5,        5,        5,        5,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1
Kirk's Dik-dik [71],     1633,     1729,     1827,     1927,     2027,     2129,     2229,     2329,     2427,     2523,     2615,     2703,     2785,     2861,     2931,     2992,     3045,     3089,     3123,     3147,     3161,     3164,     3157,     3139,     3110,     3073,     3026,     2971,     2908,     2838,     2763,     2683,     2599,     2512,     2423,     2333,     2243,     2153,     2064,     1977,     1892,     1809,     1729,     1653,     1579,     1509,     1442,     1378,     1318,     1261,     1207,     1157,     1109,     1064,     1022,      983,      946,      911,      879,      848,      820,      793,      768,      745,      723,      702,      683,      665,      648,      632,      618,      604,      591,      579,      567,      557,      547,      538,      529,      521,      513,      506,      500,      494,      488,      483,      479,      474,      470,      467,      464,      461,      458,      456,      454,      452,      451,      449,      448,      448,      447,      447,      447,      447,      448,      448,      449,      450,      452,      453,      455,      456,      458,      460,      463,      465,      468,      471,      474,      477,      480,      484,      487,      491,      495,      499,      503,      507,      511,      516,      520,      525,      530,      535,      540,      545,      550,      556,      561,      567,      572,      578,      583,      589,      595,      601,      607,      613,      619,      625,      631,      637,      643,      649,      655,      661,      667,      673,      679,      685,      691,      697,      703,      709,      714,      720,      726,      731,      736,      742,      747,      752,      757,      761,      766,      770,      775,      779,      783,      787,      791,      794,      798,      801,      804,      807,      810,      812,      815,      817,      819,      821,      822,      824,      825,      826,      827,      828,      829,      829
Grass and Herbs [5],     7343,     6973,     6637,     6330,     6047,     5784,     5538,     5307,     5088,     4879,     4680,     4490,     4306,     4129,     3957,     3791,     3630,     3474,     3322,     3175,     3032,     2893,     2759,     2629,     2504,     2383,     2267,     2156,     2049,     1947,     1850,     1757,     1669,     1586,     1507,     1433,     1363,     1297,     1235,     1178,     1124,     1073,     1026,      982,      942,      904,      869,      836,      806,      778,      752,      728,      706,      686,      667,      650,      634,      619,      606,      594,      582,      572,      563,      554,      547,      540,      533,      528,      523,      518,      514,      511,      508,      506,      504,      503,      501,      501,      500,      500,      501,      502,      503,      504,      506,      507,      510,      512,      515,      518,      521,      524,      528,      532,      536,      540,      545,      550,      554,      560,      565,      570,      576,      582,      588,      594,      600,      607,      613,      620,      627,      634,      641,      649,      656,      664,      671,      679,      687,      695,      703,      711,      719,      728,      736,      744,      753,      761,      770,      778,      787,      796,      804,      813,      821,      830,      838,      847,      855,      864,      872,      880,      889,      897,      905,      913,      920,      928,      936,      943,      950,      958,      965,      971,      978,      985,      991,      997,     1003,     1009,     1014,     1020,     1025,     1029,     1034,     1038,     1043,     1047,     1050,     1054,     1057,     1060,     1063,     1065,     1067,     1069,     1071,     1073,     1074,     1075,     1076,     1076,     1076,     1077,     1076,     1076,     1075,     1075,     1074,     1072,     1071,     1069,     1068,     1066,     1064,     1061,     1059,     1056,     1054,     1051
Smith's Red Hock Hare [52],     1410,     1482,     1555,     1629,     1702,     1774,     1846,     1916,     1984,     2049,     2111,     2169,     2222,     2271,     2314,     2352,     2383,     2407,     2425,     2436,     2439,     2436,     2426,     2409,     2386,     2357,     2322,     2282,     2238,     2189,     2138,     2083,     2026,     1967,     1907,     1847,     1786,     1725,     1665,     1606,     1548,     1492,     1437,     1384,     1332,     1283,     1236,     1190,     1147,     1106,     1066,     1029,      993,      959,      927,      897,      868,      841,      815,      791,      768,      746,      725,      706,      688,      670,      654,      638,      624,      610,      597,      584,      572,      561,      551,      541,      532,      523,      515,      507,      500,      493,      486,      480,      474,      469,      464,      459,      455,      451,      447,      443,      440,      437,      435,      432,      430,      428,      426,      425,      423,      422,      421,      420,      420,      420,      419,      419,      420,      420,      420,      421,      422,      423,      424,      426,      427,      429,      430,      432,      434,      437,      439,      441,      444,      447,      450,      453,      456,      459,      462,      466,      469,      473,      477,      481,      485,      489,      493,      497,      502,      506,      511,      516,      520,      525,      530,      535,      540,      545,      551,      556,      561,      566,      572,      577,      582,      588,      593,      599,      604,      609,      615,      620,      626,      631,      636,      642,      647,      652,      657,      662,      667,      672,      677,      682,      687,      691,      696,      700,      704,      708,      712,      716,      720,      724,      727,      730,      734,      737,      740,      742,      745,      747,      750,      752,      754,      756,      757,      759
