,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Plant Juices [2],     7402,     6317,     5557,     4994,     4563,     4222,     3946,     3719,     3529,     3368,     3230,     3111,     3007,     2915,     2835,     2763,     2700,     2643,     2591,     2545,     2503,     2465,     2431,     2399,     2370,     2344,     2320,     2297,     2277,     2258,     2241,     2225,     2210,     2196,     2183,     2171,     2160,     2150,     2141,     2132,     2124,     2116,     2109,     2102,     2096,     2090,     2085,     2080,     2075,     2070,     2066,     2062,     2059,     2055,     2052,     2049,     2046,     2044,     2041,     2039,     2037,     2035,     2033,     2031,     2029,     2028,     2026,     2025,     2023,     2022,     2021,     2020,     2019,     2018,     2017,     2016,     2015,     2014,     2013,     2013,     2012,     2011,     2011,     2010,     2009,     2009,     2008,     2008,     2007,     2007,     2006,     2006,     2005,     2005,     2005,     2004,     2004,     2004,     2003,     2003,     2003,     2002,     2002,     2002,     2002,     2001,     2001,     2001,     2000,     2000,     2000,     2000,     1999,     1999,     1999,     1999,     1999,     1998,     1998,     1998,     1998,     1998,     1997,     1997,     1997,     1997,     1997,     1996,     1996,     1996,     1996,     1996,     1995,     1995,     1995,     1995,     1995,     1994,     1994,     1994,     1994,     1994,     1994,     1993,     1993,     1993,     1993,     1993,     1992,     1992,     1992,     1992,     1992,     1992,     1991,     1991,     1991,     1991,     1991,     1990,     1990,     1990,     1990,     1990,     1990,     1989,     1989,     1989,     1989,     1989,     1988,     1988,     1988,     1988,     1988,     1987,     1987,     1987,     1987,     1987,     1987,     1986,     1986,     1986,     1986,     1986,     1985,     1985,     1985,     1985,     1985,     1985,     1984,     1984,     1984,     1984,     1984,     1983,     1983,     1983
Thrips [8],     1717,     1720,     1723,     1726,     1729,     1732,     1735,     1738,     1741,     1744,     1747,     1750,     1753,     1756,     1759,     1762,     1765,     1768,     1770,     1773,     1776,     1779,     1782,     1785,     1788,     1790,     1793,     1796,     1799,     1802,     1805,     1807,     1810,     1813,     1816,     1819,     1821,     1824,     1827,     1830,     1833,     1836,     1838,     1841,     1844,     1847,     1850,     1853,     1855,     1858,     1861,     1864,     1867,     1870,     1873,     1875,     1878,     1881,     1884,     1887,     1890,     1893,     1896,     1899,     1901,     1904,     1907,     1910,     1913,     1916,     1919,     1922,     1925,     1928,     1931,     1934,     1937,     1940,     1943,     1945,     1948,     1951,     1954,     1957,     1960,     1963,     1966,     1969,     1972,     1975,     1978,     1981,     1984,     1987,     1990,     1993,     1997,     2000,     2003,     2006,     2009,     2012,     2015,     2018,     2021,     2024,     2027,     2030,     2033,     2036,     2039,     2043,     2046,     2049,     2052,     2055,     2058,     2061,     2064,     2068,     2071,     2074,     2077,     2080,     2083,     2087,     2090,     2093,     2096,     2099,     2103,     2106,     2109,     2112,     2115,     2119,     2122,     2125,     2128,     2131,     2135,     2138,     2141,     2144,     2148,     2151,     2154,     2158,     2161,     2164,     2167,     2171,     2174,     2177,     2181,     2184,     2187,     2191,     2194,     2197,     2201,     2204,     2207,     2211,     2214,     2217,     2221,     2224,     2228,     2231,     2234,     2238,     2241,     2245,     2248,     2251,     2255,     2258,     2262,     2265,     2269,     2272,     2275,     2279,     2282,     2286,     2289,     2293,     2296,     2300,     2303,     2307,     2310,     2314,     2317,     2321,     2324,     2328,     2331,     2335
Herbivorous True Bugs [15],     1302,     1304,     1307,     1309,     1312,     1314,     1316,     1319,     1321,     1323,     1326,     1328,     1330,     1333,     1335,     1337,     1339,     1342,     1344,     1346,     1348,     1350,     1353,     1355,     1357,     1359,     1362,     1364,     1366,     1368,     1370,     1373,     1375,     1377,     1379,     1381,     1384,     1386,     1388,     1390,     1392,     1395,     1397,     1399,     1401,     1404,     1406,     1408,     1410,     1412,     1415,     1417,     1419,     1421,     1424,     1426,     1428,     1430,     1433,     1435,     1437,     1439,     1442,     1444,     1446,     1448,     1451,     1453,     1455,     1458,     1460,     1462,     1464,     1467,     1469,     1471,     1474,     1476,     1478,     1481,     1483,     1485,     1488,     1490,     1492,     1495,     1497,     1499,     1502,     1504,     1506,     1509,     1511,     1514,     1516,     1518,     1521,     1523,     1525,     1528,     1530,     1533,     1535,     1537,     1540,     1542,     1545,     1547,     1550,     1552,     1554,     1557,     1559,     1562,     1564,     1567,     1569,     1572,     1574,     1576,     1579,     1581,     1584,     1586,     1589,     1591,     1594,     1596,     1599,     1601,     1604,     1606,     1609,     1611,     1614,     1616,     1619,     1621,     1624,     1627,     1629,     1632,     1634,     1637,     1639,     1642,     1644,     1647,     1650,     1652,     1655,     1657,     1660,     1663,     1665,     1668,     1670,     1673,     1676,     1678,     1681,     1684,     1686,     1689,     1691,     1694,     1697,     1699,     1702,     1705,     1707,     1710,     1713,     1715,     1718,     1721,     1724,     1726,     1729,     1732,     1734,     1737,     1740,     1742,     1745,     1748,     1751,     1753,     1756,     1759,     1762,     1764,     1767,     1770,     1773,     1775,     1778,     1781,     1784,     1787
